step,energy,fmax
0,-0.979878003673266,0.21943946455526733
1,-0.981900897133096,0.2149641560446377
2,-0.19184030555620718,0.06534369163263494
3,-0.22283240487295877,3.1094116079177203
4,-0.19169288066641096,0.06509952173644361
5,-0.1915434353526418,0.06483346640276444
6,-0.4311289078177462,0.3680216502504948
7,-0.19424809158667575,0.0679267198634343
8,-0.820385549619439,8.17636615863851
9,-0.19417082670263353,0.0678722741821337
10,-0.1940930740776153,0.06781696437612567
11,-0.43028530111387603,0.370643238314021
12,-0.1940930740776153,0.06781696436955587
13,-0.7883220337963934,9.041658442455962
14,-0.1940242077679672,0.06776670526989087
15,-0.19395497060619077,0.06771466819051553
16,-0.4295276483823271,0.37289472710878363
17,-0.19395497060619077,0.06771466819051546
18,-0.7572413587054699,9.767923387573534
19,-0.19389204581418878,0.06766704971776868
20,-0.193828796226836,0.0676185702933872
21,-0.42883060364916903,0.374882220545663
22,-0.19382879924693985,0.06761858560734212
23,-0.7275676966420835,10.348405538573191
24,-0.1937700992322371,0.06757240655317291
25,-0.19363493816256167,0.06736568257054446
26,-0.2793096816807167,1.5370036099354323
27,-0.19283391327373361,0.06663291546882269
28,-0.19208382952381897,0.065712393417499
29,-0.41843472473180954,0.3946128322754773
30,-0.19208382929412093,0.06571238783824195
31,-0.3251628060350219,8.18882402157243
32,-0.19202014821397012,0.06561963007527702
33,-0.19195615090728818,0.0655240692438933
34,-0.41772535154637414,0.3954817564852415
35,-0.19195617840454127,0.06552415901945347
36,-0.30641450603512166,7.442171562379489
37,-0.19188771031782467,0.06541845982659981
38,-0.19181887381362428,0.06530895254326036
39,-0.4223870877144735,0.35551672896758124
40,-0.1918243545307038,0.06531831711227638
41,-0.4366701344233667,10.794596111230506
42,-0.1918066606481088,0.06528970556556363
43,-0.19178900373065721,0.06526162560670384
44,-0.9909049643300236,0.1955779344468182
45,-0.19180145367734386,0.06528207427987864
46,-0.19636427174699625,1.2024853599692154
47,-0.19181384536193435,0.06530302947419367
48,-0.19182517684659875,0.06532262604625907
49,-0.9878179846285449,0.13624292846142697
50,-0.1912997798473251,0.06454555811927051
51,-0.1906389813065683,0.06414332428377555
52,-0.986624015740532,0.12097619544168894
53,-0.19112775777253163,0.06437154019999936
54,-0.19153804137132155,0.06484366399073466
55,-0.9882829514957672,0.0766663642808377
56,-0.19030266952391534,0.06408842881462176
57,-0.8113174230003539,3.450071528939774
58,-0.19020861229811573,0.06402166664188196
59,-0.19011491123343727,0.062379172774947096
60,-0.19113936064736556,0.06476184542469683
61,-0.9193444848975527,1.4742209644416666
62,-0.19104858172847186,0.06466920850070593
63,-0.19095567188228582,0.06457566513333166
64,-0.9852029565857406,0.23903796162048324
65,-0.19172989958699904,0.06542669804236471
66,-0.19239015360495995,0.06618679528503701
67,-0.9645419520184544,0.43526708397662317
68,-0.19277470733517335,0.06660945364551621
69,-0.19312236633990018,0.0670237166687518
70,-0.9558333328936025,0.4969262651622921
71,-0.19340526933332639,0.0672859782830366
72,-0.1966705157743268,0.9854738399045816
73,-0.19339320909604923,0.0672776494832334
74,-0.1933807373856665,0.06726800540109175
75,-0.9952675890105844,0.08539688502759944
76,-0.2024388901313064,1.7664419304927226
77,-0.9951288794434622,0.2033686491306424
78,-0.9942581665485624,0.10413514585835669
79,-0.995504249076467,0.10882183061384172
80,-0.9954954631284844,0.12671766820471225
81,-0.9955013994212403,0.118011172911125
82,-0.9955039825821653,0.12487696072660132
83,-0.9955025843529921,0.12304050619077361
84,-0.9954980815289132,0.1278134424465943
85,-0.9955034206459437,0.13069922312367646
86,-0.9955244753171484,0.1360101867188277
87,-0.9955625207737427,0.1395315401498236
88,-0.995636258772125,0.13822830001955957
89,-0.9957450373177367,0.12899530248857677
90,-0.9958709946294619,0.11341484941232409
91,-0.9959863898159605,0.09564554319050182
92,-0.9960230452266552,0.07703499272800705
93,-0.9960590439633297,0.08277601765708213
94,-0.9963197987784573,0.11841841891947019
95,-0.9965803576141371,0.13745101953034697
96,-0.9971740582136542,0.13694222092449812
97,-0.9980824004709241,0.18793863033907415
98,-1.0005851670982024,0.3446849304779836
99,-1.0052063315510058,0.36680915971623607
100,-0.9450990828732766,0.34616907333205577
101,-1.0126369589389423,0.13560297781375308
102,-1.0106984271069073,0.20617173787996843
103,-1.0139138028508587,0.04413698334822592
104,-1.013980420958558,0.018678178420789882
