System,mace_omat_0_D3
01_cyclohexanedione,105.95630970977349
02_acetic_acid,70.18785825419796
03_adamantane,111.3933258022789
04_ammonia,59.155259397146004
05_anthracene,87.25785386660701
06_benzene,98.88024604971841
07_co2,36.869433207156106
08_cyanamide,31.630181865600107
09_cytosine,4.802252037246234
10_ethylcarbamate,62.41387045333984
11_formamide,23.66361561343244
12_imidazole,47.90249076541079
13_naphthalene,86.61147768991039
14_oxalic_acid_alpha,46.98082506169344
15_oxalic_acid_beta,42.889215614604595
16_pyrazine,61.28994414207639
17_pyrazole,68.51677703559395
18_triazine,32.406080316097025
19_trioxane,4.404930511937991
20_uracil,23.385109418628332
21_urea,23.876002910586323
22_hexamine,22.92889815787555
23_succinic_acid,70.9812682896455
