,Mo,P,Au,Mn,Cl,Hg,Pr,Hf,O,As,Sm,Ta,Ti,Pa,Al,Ac,Sn,Ge,S,Y,Pd,Bi,Re,La,Sr,Ne,Kr,Te,B,Gd,Ho,Co,Ir,Ca,H,In,Ba,Be,Mg,Os,Cd,Tc,C,Rh,Fe,Lu,Na,Si,Xe,Cs,Ru,Rb,Pt,Zr,Sc,Ar,Ga,Pm,Ag,K,I,Sb,Cr,Nb,Zn,F,Se,Pb,Np,Br,U,V,Pu,N,Th,Ce,He,Yb,Li,Cu,Eu,Er,Tm,Nd,Tl,W,Ni,Tb,Dy
4.53030303030303,-9.330623421229381,-3.8108723473757524,-0.9021298802890252,-10.762505272600196,-0.9010958727102629,-0.249729003059944,-2.112436757921985,-7.47845387770746,-3.1817765281453574,-3.426143414059471,-1.5999698407660632,-7.446038472628615,-5.423412119588482,-6.21545037869008,-0.7659925755625834,-2.115341699035713,-2.2432100976608,-1.8930867065914265,-1.971892660004454,-5.167472027262072,-3.0716318622497383,-2.934595121379357,-9.487374109829737,-2.4761636506757663,-0.7139277544347442,-0.02529921097285748,-0.07694217689657637,-1.7245903816249237,-0.6282522543721819,-21.43299881778487,-1.418123536447415,-4.001712554871691,-3.1356840744348116,-0.6679800016768357,-2.2436648858814303,-1.297197701001574,-1.110469492357067,-0.08040481925545859,-0.15804885615576192,-5.888679857603983,-0.36136407727609915,-7.183296629308485,-2.594134965229659,-3.1629265681056675,-7.140560182134398,-1.2980353934295654,-0.8407970770978276,-1.859537536000967,-0.06303675196983827,-1.5836494346544738,-4.935943081549408,-1.6511791379767384,-1.231330968466581,-5.224717620266545,-4.732304002243874,-0.10487576800284266,-1.0070275625554086,-1.8019709120113474,-0.8931583290950984,-1.5487841466089984,-0.8507658731721839,-2.939689241226823,-11.310922484541315,-6.613344878101147,-0.3469836639218938,-1.227312890280895,-1.737213219611921,-2.2170277517035366,-15.768790510915426,-0.9217305764324714,-10.569206851601201,-7.641343645722235,-21.932366935074196,-6.245371197240634,-3.3932385794243225,-3.8237514773807795,0.0014388373265628368,-0.33552780271912963,-0.8864555954713331,-1.3351687790351359,-17.360474756607992,-1.316358857623781,-1.245378943484509,-1.9453074661141498,-1.4001893993542132,-9.444771094818009,-2.035469171808362,-1.4077101142717294,-1.4115201554122818
4.589090909090909,-9.317580608545068,-3.8064588690340315,-0.8834977786239211,-10.75181691591547,-0.8914401061563119,-0.24941448463217472,-2.0418304152927678,-7.442381616789825,-3.178864052221962,-3.4216922863481476,-1.541239279162262,-7.414588262902958,-5.3948105808743225,-6.15160314597683,-0.7464221502914133,-2.0598128021644064,-2.2079058102087994,-1.8715608528957048,-1.9603509343554333,-5.116500165184838,-3.0604130179397746,-2.9070252797288068,-9.483525999225865,-2.4154679872935603,-0.6968558594390707,-0.025271780468783322,-0.07580493027692016,-1.6977546491096662,-0.6197112027787954,-21.409257281673323,-1.3689350008662051,-3.9925684635551977,-3.1164064843482846,-0.6435878627710157,-2.243340620831269,-1.2676406201816661,-1.0941438625876438,-0.07728427793366904,-0.14908418576300977,-5.880026822724551,-0.3599838038217016,-7.161931509852541,-2.5892905460201034,-3.142088407232142,-7.128546280782687,-1.253588949700546,-0.8253734972832732,-1.8400875294213948,-0.05925809390839848,-1.5811645781451735,-4.924153091474537,-1.640495736019349,-1.2133773099706766,-5.180254365032759,-4.699326928676483,-0.1044764913084589,-0.9866164467930755,-1.742095025306059,-0.8801437031040314,-1.545431451766116,-0.8300274948164846,-2.924655474510482,-11.30231679799371,-6.5916280639989475,-0.34688861632048046,-1.221937258079188,-1.7223266515371056,-2.180179182973942,-15.737209734795927,-0.9103270135303968,-10.527229901057781,-7.627821414501608,-21.91635856146472,-6.2450175752836685,-3.3155459598686243,-3.7725070130655163,0.0014660385033576845,-0.3256323981279609,-0.8713134261928737,-1.3233644218103127,-17.344686836017047,-1.277341346653996,-1.1958029307923104,-1.880504564782445,-1.3588851530563337,-9.428197724952993,-2.0227170241364774,-1.3667735832851746,-1.3650881434006796
4.6478787878787875,-9.30564363389932,-3.802172173241755,-0.8649956888660937,-10.741660309844983,-0.8816406966441666,-0.24888441352169058,-1.9738187543674588,-7.408461506718294,-3.1757997014176524,-3.417776542855661,-1.4859297227972785,-7.38486714428655,-5.368448626169363,-6.0874042330177875,-0.7279079427436215,-2.0050690415675305,-2.174493642197229,-1.8510637844271387,-1.9493388467373942,-5.069466395271788,-3.0498380732607755,-2.8819156736017546,-9.478389038769045,-2.3563589760259043,-0.6776312756144011,-0.02524742436900183,-0.07459462443705182,-1.6718426722925974,-0.6115425277645341,-21.38686652007562,-1.3222336130456593,-3.984390648987026,-3.0987188564412316,-0.6198970293136725,-2.243045431033344,-1.238927582133788,-1.074787630684521,-0.07424928387067878,-0.14070058225116572,-5.8715456199939435,-0.35856426490898097,-7.141331843821708,-2.584304668499919,-3.122379081347325,-7.11817030156969,-1.2141622026941965,-0.8104358397244367,-1.821891865055624,-0.05579532669827231,-1.5774115218744906,-4.912319423060664,-1.628947585801037,-1.1964397279916132,-5.137643216219998,-4.66837229197838,-0.10409083526738652,-0.967637604558292,-1.6847973896629425,-0.8676016588586591,-1.544100148234065,-0.8104473602245298,-2.9119805085509793,-11.294574253488065,-6.5711047517322125,-0.34678807501771247,-1.2163918098036912,-1.7083890894058587,-2.1453666103515268,-15.70665824978031,-0.8992093677380698,-10.486109992116143,-7.615503552606261,-21.901276758343702,-6.244530590449239,-3.2373168376387786,-3.723400701636672,0.001489573085975483,-0.31678960579816706,-0.8567035568972395,-1.3122777268157613,-17.328593753072237,-1.2435002818368819,-1.149295019270655,-1.8167729215030808,-1.319386992991484,-9.413683596158368,-2.0106845856382716,-1.3278596119720711,-1.3213592146741158
4.706666666666667,-9.294771979030164,-3.7980747518411424,-0.8464875650663015,-10.732019370367416,-0.8715730219208307,-0.24819047288175913,-1.908868834806613,-7.376529097038224,-3.1725880764473877,-3.414300946463371,-1.4340144584548689,-7.356940218075142,-5.344033554575974,-6.023036566219825,-0.7103159434636487,-1.9511918203426342,-2.142667957551528,-1.831373513426293,-1.938805715899143,-5.026462455015417,-3.039903107858396,-2.859151695050245,-9.472040960116297,-2.298221781370641,-0.6567379229451351,-0.025225708652417328,-0.0733734545409061,-1.6467183743863396,-0.6037583304800141,-21.365663742475927,-1.2782634100807488,-3.9769787403991463,-3.082669849319446,-0.5971773079842041,-2.242743327448994,-1.2109854193932374,-1.0527013335215973,-0.07132217130693694,-0.13288595093418565,-5.863129430753829,-0.35714741036527825,-7.1215134172729995,-2.5791710816768325,-3.10374010292871,-7.109367983057561,-1.179878769964362,-0.7958757015357064,-1.8049049558701373,-0.05265785668688852,-1.5720695190345246,-4.900359373284209,-1.6165009550242868,-1.1803926916763063,-5.0967399509716405,-4.639126318709978,-0.10371960109637568,-0.9498782844838264,-1.6297606521142327,-0.8554575123557228,-1.5439966806976297,-0.7918329863520072,-2.9014174826211954,-11.287546878171078,-6.551438992597598,-0.3466576268482885,-1.2106781824492159,-1.695323451293442,-2.11223337733742,-15.677457624519212,-0.8880852977838509,-10.445493010501945,-7.604135713843345,-21.887239939717485,-6.243925344205171,-3.1589225681827853,-3.676490402781238,0.0015095128453993117,-0.30890647200240007,-0.842500017621023,-1.301885385908013,-17.31258518977394,-1.214040994049592,-1.1058799286002226,-1.7544060295469315,-1.2816786185094833,-9.401381495418002,-1.9993150400408615,-1.2905636063395882,-1.2801318625278755
4.765454545454546,-9.284920116549563,-3.794239003380701,-0.8278755411740581,-10.722911610802102,-0.8610238040758408,-0.24740638082522398,-1.8470561766151712,-7.346477754968353,-3.1692385681764867,-3.411179547369772,-1.3852517568784215,-7.330935977900113,-5.321228078586327,-5.958793791581348,-0.6935074289732142,-1.8980697329847662,-2.112117617562883,-1.812303283894429,-1.9286998273436198,-4.9872698556593695,-3.030633488177585,-2.8385830778775873,-9.464751430552363,-2.240342083921685,-0.6346862144904175,-0.025206184252282996,-0.07220463097823324,-1.6223096936559702,-0.5963752824385684,-21.34535329652547,-1.2371481654043368,-3.970151614899922,-3.068294990391854,-0.5755866802938432,-2.242407398022103,-1.1836758215383227,-1.0280488965859729,-0.06851687578512267,-0.12560517886760003,-5.854811769022386,-0.3557785853947245,-7.102578631227661,-2.5739178878207842,-3.086177560370616,-7.1020244003562825,-1.1502948882035873,-0.78152304226046,-1.7890951121290244,-0.04982912447075241,-1.5647223544077569,-4.888345174847979,-1.6030844182943078,-1.165140667395046,-5.0574420830257685,-4.611262939035888,-0.10336354429774641,-0.9331072871048838,-1.5765810704752226,-0.8436661059777901,-1.5432280412681834,-0.7739083799594422,-2.8926868196276145,-11.281083005029267,-6.532378487135061,-0.34647484293511455,-1.2047633402828497,-1.6830561306394178,-2.0803718588778812,-15.649783246068134,-0.8765411394734811,-10.405164585242586,-7.59346209149415,-21.874206739466707,-6.243241764239793,-3.080740309694082,-3.6315610756121526,0.0015262382995287157,-0.30182972707666034,-0.8285724512314171,-1.292170872113788,-17.29678963540142,-1.1878163054685504,-1.0655082919761982,-1.6936147011271931,-1.2455772212611291,-9.391284283870247,-1.9885576857510256,-1.2544781033724648,-1.2410783002778123
4.824242424242424,-9.276040209407434,-3.7907343870223533,-0.8091142888374024,-10.714383367101798,-0.8497090695462753,-0.24662043386223695,-1.7880915822326073,-7.3182506176938995,-3.1657624972906393,-3.4083342636663914,-1.339231194499438,-7.306978952144102,-5.299691593503256,-5.895028223414318,-0.677335679180079,-1.845434798674853,-2.082548316206933,-1.7937088532795933,-1.918962987714444,-4.951370499328801,-3.022069003147309,-2.8200264568862843,-9.456926717704606,-2.182010337316342,-0.6119337782127012,-0.025188408541741276,-0.07114755214933494,-1.5985893527095376,-0.5894087575225683,-21.325567614499764,-1.198872503034276,-3.9637543116129086,-3.055591047873135,-0.5551703821784314,-2.242018375855951,-1.156814289467402,-1.000933591815545,-0.065832912612113,-0.11880548659525504,-5.846718648890837,-0.35450172548471615,-7.084674527329959,-2.568612320734953,-3.0697479404142434,-7.095984910203539,-1.1244996429130543,-0.7671767206323068,-1.77443732981594,-0.04727487624333801,-1.5548534760092583,-4.876455320777164,-1.588602311179395,-1.1506130517627153,-5.01968866631019,-4.58449808280451,-0.10302331916051555,-0.9170942134075706,-1.5248381188980706,-0.8322030028449399,-1.5394143775201463,-0.756332840417749,-2.885488312597951,-11.275037665103975,-6.513771911320499,-0.3462228083266222,-1.1985806470346019,-1.6715109878498784,-2.0493564811695557,-15.623669024902572,-0.8640902537685053,-10.365072086532923,-7.583250538628027,-21.86199132715618,-6.242536500606112,-3.0031840048555396,-3.5881679355989426,0.0015404903988171788,-0.29536353493315143,-0.8148017842801004,-1.2831161757591902,-17.281096165638996,-1.1635196676254562,-1.0280430763367079,-1.6345171223431971,-1.2107643604041927,-9.383226766142705,-1.9783686162648957,-1.219256492150074,-1.2038279446089468
4.883030303030303,-9.26808965475498,-3.7876210818583753,-0.7902454546323788,-10.706500115389707,-0.8373344474264897,-0.24592459356058147,-1.7315233408305848,-7.291848678087333,-3.1621740687621784,-3.405699455640306,-1.2955430319990036,-7.2851530381649745,-5.279155779136504,-5.832176205412657,-0.6616729155096618,-1.7930114677239433,-2.0537513627358877,-1.775517274184463,-1.9095381937882234,-4.91807433834025,-3.0142562411216614,-2.8032908438199513,-9.44903522058295,-2.12273573507081,-0.5888750158878774,-0.02517197329824973,-0.07025157304984522,-1.5755832764241984,-0.5828744022950317,-21.30596450708584,-1.1633451101750907,-3.9576697046837612,-3.04451050597471,-0.5359014497367216,-2.2415622547056926,-1.1302524013120085,-0.9715288851024887,-0.06325409913742629,-0.1124319002443796,-5.839010400886688,-0.3533545832825995,-7.067964432707302,-2.5633593209859593,-3.0545500187481647,-7.091064659197492,-1.1013503877425097,-0.7526655076446743,-1.7609240733231404,-0.0449542653636722,-1.5418767539714777,-4.864916756249419,-1.5729660248920094,-1.1367772593180632,-4.983496521895171,-4.558658961983978,-0.10269960754614967,-0.9016592030290607,-1.474238185750866,-0.8210702684653045,-1.5306027434808467,-0.7387570076652286,-2.8795215779937964,-11.269285938931793,-6.495588842356092,-0.3458933723258082,-1.1920560918421097,-1.6606146248085412,-2.018838580575732,-15.599093345983736,-0.8502788860113253,-10.325355136977754,-7.573329094494244,-21.85033015256572,-6.24188006489686,-2.9268250776612854,-3.545801222396728,0.001553308283479018,-0.2893096986230535,-0.8011156218268484,-1.2747045209407926,-17.26525510122975,-1.139942257830979,-0.9933135867548296,-1.5772271567536977,-1.1768982039011973,-9.376928567682599,-1.968720568189611,-1.1847143100643185,-1.1680993117348648
4.941818181818181,-9.26102520984334,-3.784929713412621,-0.7713848260574782,-10.699327354123634,-0.8236726531304568,-0.2453981041878498,-1.6769135515234899,-7.267275778876767,-3.1584817856134113,-3.403219537628573,-1.2539009111770052,-7.265447028818195,-5.259453490464403,-5.770709365556158,-0.6464228864045773,-1.7406134246840181,-2.0256285140566668,-1.7577204000439135,-1.9003602450349892,-4.886656119760087,-3.007223034742391,-2.7881717564297777,-9.441512887927985,-2.0623604764360137,-0.5658273079999815,-0.02515655693839042,-0.06954694986647407,-1.5533394133812903,-0.5767736059295427,-21.286326187120018,-1.1304314817587386,-3.951819212200327,-3.034943817391761,-0.517713032095865,-2.2410317172129566,-1.1039342226054345,-0.9401331786215591,-0.06074796084815359,-0.10643661462250718,-5.831814715198778,-0.35236250882978226,-7.052576773667554,-2.5582800738759905,-3.040681134373683,-7.08706331823135,-1.079726169600611,-0.7378931828443365,-1.7485477833641405,-0.042828001048381165,-1.5251898272616649,-4.8539347803647885,-1.556061545472326,-1.1236157630641135,-4.948942869115131,-4.533706813125942,-0.10239303534826755,-0.886706440403473,-1.424673757278091,-0.8102861854740366,-1.5157925837743813,-0.7208545206094588,-2.8744928763986604,-11.263721952185085,-6.477901322076066,-0.3454908769483547,-1.18513153382467,-1.6502817387652016,-1.9886025943832826,-15.57600083220543,-0.8348090952533478,-10.286280723724435,-7.563602566116564,-21.83897538043061,-6.241333461560939,-2.85237162764388,-3.5040387608103556,0.0015658488690514754,-0.2835070358940154,-0.7875055186993362,-1.2669101531245095,-17.249013740175048,-1.116187053716215,-0.9611264020150116,-1.5218803076594167,-1.1436879087804546,-9.372054102197103,-1.9595885812825269,-1.1508556007439112,-1.133752851287613
5.000606060606061,-9.25479058158616,-3.782651684600817,-0.7527414034360544,-10.692914407471722,-0.808683336097387,-0.24509153069197015,-1.62412015987622,-7.244544637298803,-3.154698703043899,-3.4008540758832755,-1.2143243833813653,-7.247781757328801,-5.240576836732506,-5.711225812384941,-0.6315732994051706,-1.6883359247851406,-1.9982757661901667,-1.7404027115746363,-1.8913725845982003,-4.856583307230492,-3.0009680497169735,-2.77448673967499,-9.434691676798124,-2.0012405573726495,-0.543081389505529,-0.025141967754686082,-0.0690378435278533,-1.5319545864668818,-0.5710942550637647,-21.266669921151205,-1.1000628650639706,-3.9461697673522385,-3.026741573063264,-0.5005764586291788,-2.2404316188301507,-1.0780169239090012,-0.9072497314125579,-0.05827263101358079,-0.10079751488289546,-5.82519188324989,-0.3515345241587099,-7.038606550560024,-2.5534986740394707,-3.0282170063889846,-7.08378518568174,-1.0588121810267273,-0.722906898027183,-1.7373109729174125,-0.040868025866191496,-1.5043139580898643,-4.8436572548484405,-1.5376945440916447,-1.1111307737247658,-4.916211032243733,-4.50977251443261,-0.10210438759053508,-0.8722873937060674,-1.376358187454256,-0.7999007767675037,-1.4949981045079057,-0.7024015277235546,-2.8701351840281264,-11.258270421134108,-6.460882852587232,-0.3450329719647646,-1.1778181074489806,-1.6404303268558587,-1.9586933668204332,-15.554383508081262,-0.8176987822228051,-10.248250821521767,-7.554068210066495,-21.827786512868034,-6.240935318051887,-2.780768352601536,-3.4627770232435933,0.0015790589910532687,-0.2778780857649803,-0.7740636450212235,-1.2597087436159222,-17.232270409478666,-1.0918544294252286,-0.9313638731644625,-1.468781060784928,-1.1110593810692089,-9.368269760434117,-1.9509470098834643,-1.1179343005028486,-1.1008838293611916
5.0593939393939396,-9.249291634195224,-3.7807244183292834,-0.734565062870455,-10.687269727982715,-0.7925679847770553,-0.24501563639129992,-1.5732563910677764,-7.223635452132607,-3.1508414743601643,-3.3985685203412497,-1.1770574095358084,-7.231999117365473,-5.2226324284528065,-5.654312316389452,-0.6171960401452041,-1.6364185523649633,-1.9719487328921366,-1.7237051357558268,-1.882523416865298,-4.8275842433405005,-2.9954389326727116,-2.7620715367703883,-9.428750889836891,-1.9400947969057203,-0.520881506439224,-0.025128177146229513,-0.06869985281240786,-1.5115399649433987,-0.5657960801643147,-21.2471831415735,-1.072190559376876,-3.940719872111988,-3.0197164411988417,-0.484508676581634,-2.239786616472535,-1.052860710210937,-0.8734722175027002,-0.05578339745367513,-0.09551690100633424,-5.819116102845091,-0.3508629646650617,-7.026091076101194,-2.549107316132524,-3.0171577048385245,-7.081056410567204,-1.0381863809949312,-0.707885773496192,-1.7271998657183245,-0.03906036295691565,-1.4789430397671013,-4.8341460793523705,-1.5174123937899402,-1.0993083767555758,-4.885526976802341,-4.487083095813585,-0.10183450597343399,-0.8585854542779148,-1.3297156056211552,-0.789978043903121,-1.4689485142866765,-0.6833023392181764,-2.8662108026629314,-11.25288957702639,-6.44474399791004,-0.344549530221431,-1.1702225680048688,-1.6309728150980867,-1.9294044158612358,-15.534251229505182,-0.7993285940124364,-10.211694728892555,-7.544790052948832,-21.81674378516704,-6.240688054966382,-2.712978665695041,-3.4221789049429305,0.0015933428013635564,-0.2724302320949461,-0.7609671263657238,-1.2530680797323572,-17.215111065902573,-1.0670056533978256,-0.9039520029452611,-1.4183038035200617,-1.0791764138517534,-9.36527729511898,-1.9427426112936195,-1.0863413483111584,-1.0697463300056207
