,Dy,Lu,Ag,H,Os,Be,Se,O,Pr,U,Rb,Tc,Te,Pa,Eu,Ba,Zn,Hg,Ho,Mo,Cs,Nb,Ce,Ge,K,Ga,Tb,Ir,Sc,Ac,Tl,Fe,Br,Zr,Sb,La,Pd,Re,Cu,Ca,He,Na,Ru,Er,Yb,Co,B,Cd,Xe,Sr,Th,Kr,C,P,Pb,Ne,Si,Hf,Nd,In,Sn,Ar,N,Pt,Sm,Rh,Pm,As,V,F,Ti,Al,Mn,I,Np,Cl,Li,Cr,Ta,S,Tm,Ni,Gd,Y,Pu,Mg,W,Bi,Au
0.18,-1605638.8670337447,-422344.4322744668,55300.3711581799,12.920832996202785,166191487.9576041,4781.086734169906,6154034.960443034,-102619.62446757978,105408583.83995107,1475.0232290663341,40407.543101222764,256079423.92251268,327069055.9478331,-4327394.115012928,-469468.69272518484,-52598556.09694785,-7920.899261389795,37114.49045172626,50432211.88580319,132012855.93480062,22781081.986876834,-749554.3922158495,-1822846.1495239676,-2107471.793714938,-7554.56958699344,489248.5798861071,-10163421.111394413,49864903.95286939,-16062.746107726729,-363911.9288657144,180666.8161902221,106439599.96975397,53809863.964462146,-29340968.060831815,-5790118.054237924,-210.5827646426578,383482.98156251,3133304.2040981557,-560.6531551992236,48832015.89005057,0.32118761389473416,-23882.36929347531,5965198.447423874,362832.82576535014,-102165.96438898212,5880446.468243264,-12494.70738200461,10819198.954253353,-443869.9828143178,-59331368.0916397,625518335.8834116,-50.985905672944845,176132.05949054915,4737322.9565149695,-1357967.7934273032,0.30436802890514814,-2406088.7996902363,7489400.952009611,98.50630260976511,106439.03520234473,-2947646.0509570865,-0.1552585792509999,-45.778859884048835,-3288174.7930560885,211772095.86296976,1175437.8179307464,108159.93587516289,-71209.4962047646,-33652652.05530308,-100440.15300796014,-32426000.0467467,12604.274040661641,13848747.966403492,-2190040.5496143545,-7900619.130174276,-540351.4660591331,-3151.276779071712,68664.08395081059,12611280.951148735,3893483.964436267,-313882.4204627747,97608.55807633749,-8198440.602357516,22079407.920996074,-7170418.559967197,79704.53016095019,35292712959.95745,-16662537.049226254,1738083.0841596131
0.23878787878787877,-728669.6170337447,-244724.96352446682,24778.515689429896,8.003498440019174,89284335.95760411,2751.9868806542804,3150881.9604430343,-49541.4760300782,60509247.83995107,1251.6575064100841,19746.435679347764,139649983.92251268,138867887.94783312,-2107189.6150129274,-199830.70835018487,-24644842.096947853,-4737.441253577295,19500.779514226262,26440663.885803193,52619959.934800625,8690387.986876834,260005.87340915052,-1013703.0870239676,-1146619.6687149382,7624.92943644406,270856.4236361071,-4874006.611394413,26689921.952869397,-18684.70606866423,-175837.8507407144,97437.7302527221,58195787.96975397,26723215.96446215,-17764324.060831815,-3366913.304237924,-178.2686319522281,182963.55968751005,1845776.0790981557,-300.9003475820361,21703751.89005057,0.29570281375397794,-12872.887848162809,3417329.4474238744,206056.51326535014,-43416.573763982116,2786163.968243264,-11284.473983565525,5923115.454253354,-227536.67031431783,-27020010.091639698,290687903.88341165,-21.612902663795577,103708.34074055073,2562499.9565149695,-586139.4184273032,0.30436802890514814,-1296599.7996902366,3858435.7020096104,70.29875256093699,27053.712936719727,-1529314.6759570865,-0.15524156212491652,88.81499311436126,-1946778.7930560883,110947855.86296974,610772.1304307464,51470.18978141289,-71157.2696422646,-18280062.055303086,-50181.50066420975,-16678518.0467467,5154.16564222414,6989512.466403491,-1123231.4246143545,-3859661.3801742764,-244334.07543413312,-1674.2310027045246,-25196.341830439414,5951340.451148736,2132455.464436267,-171445.2329627747,57205.7533888375,-3949887.102357516,10101932.920996074,-3636732.5599671965,40007.6825047002,15615011839.957453,-7362911.549226255,972544.0216596132
0.2975757575757576,-228537.86703374473,-112527.8619619668,8245.207095679898,3.8050082981868525,39799871.957604125,1375.195498821511,1293356.2104430373,-18496.642045701617,29208521.83995107,1001.0347036757092,7560.427378566512,63567291.92251267,40356275.94783311,-770037.4275129277,-54468.57944393487,-8575652.096947853,-2450.6272887303776,8489.489475163762,11432741.885803193,16258959.934800632,2388229.486876834,505560.9827841505,-434099.7432739676,-511612.6374649383,12886.040276287811,121815.27519861345,-1744351.361394413,11709593.952869399,-16023.496107720393,-64077.85464696439,43784.3318152221,26746945.969753977,10380814.964462148,-8380046.060831815,-1674785.3042379238,-138.07782079500154,66670.87218751003,888730.0790981557,-129.61343657129393,6678595.39005057,0.26292741287281945,-5679.991363787808,1721846.3224238777,108957.90389035015,-5954.400912419618,1001422.8432432673,-8454.819686687357,2675354.704253357,-93913.42031431466,-8741252.091639698,99473399.88341166,-0.0692186548904506,51554.6688655539,1078707.8315149697,-171393.6371773032,0.3043680304890592,-579095.6746902365,1446676.8270096106,38.06263805898387,1937.6708224619156,-650844.8634570802,-0.15516219537257595,105.72872755198031,-1006923.3555560851,46937527.86296975,261427.44293075267,18149.98860953789,-78694.4649547646,-8166172.055303085,-18658.028007958164,-6763794.546746696,1345.4222340210156,2813310.7164034913,-497466.67461435444,-1373421.5051742764,-77391.24730912677,-723.6522063178058,-49088.10745543625,2124548.951148736,998113.4019362704,-74257.94390027471,29241.442841962493,-1441666.727357516,3211035.920996074,-1468762.6849671963,15987.725473450197,4908385279.957454,-2319798.299226252,465823.33415961324
0.3563636363636364,-31345.29086185706,-43705.78383696047,2576.033267558065,0.5178636400089899,14479790.957604123,602.9271882841394,421917.17919304053,-5235.395463665614,11553011.839951083,-26812.13949066023,2157.999155910262,24142287.92251268,5207317.447833122,-193182.06813791496,-5879.199561119198,-2055033.3469478516,-1108.4223326725223,2972.094211498223,4098574.635803192,3756902.6848006323,556551.3618768343,186400.88903415052,-130140.92296146759,-179600.6530899351,9125.135002851894,44403.57988611345,-402770.4551444131,4155535.452869402,-10666.287123345393,-16246.268709464395,16237.128690222105,10544116.969753977,3003415.7144621545,-2081494.6858318155,-746724.9917379176,-93.83883001131014,16035.835078138205,366199.9853481557,-40.912077776127916,1109363.39005057,0.2229942108947905,-2097.546783709683,774504.0724238807,59518.13435910015,4929.117153992967,248816.5619932672,-5883.910995274771,984339.1417533599,-30169.13711118332,-1737645.2166396969,22942897.883411665,12.626340853093144,21467.819256186816,324263.6752649791,-21793.29147417819,0.3043680348448146,-212635.15906523014,207924.88950961374,6.441918149315901,92.88539918310688,-238177.8322070802,-0.15498978101800776,95.66410658822019,-459583.855556082,15654422.862969745,91012.888243259,4034.8968126628897,-64100.39073600825,-2929649.8053030786,-4598.641777485849,-2190693.0467466963,187.4666981386794,920448.3414034944,-194072.09648934813,-314301.8489242765,-18632.444574745437,-251.36117543243287,-21473.61722105808,634699.3886487391,412261.1831862799,-25052.857962774706,13364.894013840662,-393342.1961075162,639640.1084960869,-458205.5287171964,5026.744516425282,980718335.9574534,-461728.0179762519,194653.17790961958
0.41515151515151516,-13401.219572794558,-15558.22621977297,828.7614780136192,-2.0213309375481883,3801694.2076041237,219.97464314346635,119713.48388055005,-1140.8814255685897,3631848.0899510826,-76919.92464691022,456.23209658409,7746043.422512688,-170351.1927918715,-31289.870872289954,-163.03163814556544,-352030.0031978516,-453.29351796892115,727.895236892016,1258201.6358032047,1338894.1848006449,115044.36187683426,51986.42028416319,-20200.24913334259,-55049.0749649256,4352.029534101895,12587.539847057287,-43563.197331913085,1182739.827869408,-5528.201674123477,-2866.1307700112698,4994.152616006522,3696181.7197539825,638206.7769621674,128215.61885569092,-268564.9917379176,-55.95182134431795,1951.1898144790007,131700.87597316204,-5.048757419145296,42971.81583183265,0.17830360805417442,-716.4382631987029,330751.88492389023,41378.45857786282,541.3261383679671,33720.73777452355,-3095.9986417433074,292665.01675336633,-7359.168849458235,-177611.74788969677,3127434.8834116766,14.980059620226005,7238.945232768322,58179.66354624493,-1424.2719429250233,0.3043680443482811,-63864.04969021746,27740.7899002419,-3054.846289845825,62.091999378651515,-80786.37908207388,-0.15474031815660094,98.43018936852313,-172362.2774310756,4007255.8629697454,25011.021055765337,31.013311622704745,-44335.32432975192,-842420.4928030787,-325.2954945185496,-682649.9217466898,34.310879212141685,272603.0289034975,-64066.393364341784,-40860.88017427648,-3921.7922309764294,-69.32212818647021,-6024.266635114243,261719.37302374223,152426.02693629576,-5690.247122918287,5680.950654471997,-71033.26642000982,133662.93662108688,-108204.41934219637,1216.9130955395158,120838007.95745337,-52084.85000749555,72256.99040962591
0.47393939393939394,-6057.630705594386,-4598.6568838227995,365.2455478536771,-3.860216469815535,650424.7701041301,67.05916924982758,20765.958489950386,-146.04921119094624,867510.5274510826,-34302.66683441023,51.65521517698252,2059921.9225127134,-28931.481854352493,-2289.007346886657,-14.503508564760905,-43941.93288535162,-175.46809375241045,68.18494027382785,321319.3233032047,677034.8098006574,21986.17828308425,20861.521846675863,-535.5471069738197,-5528.976820378514,1477.0198905503748,1582.4543978480403,-117.55474615868947,230613.89036942084,-2228.569838176473,-302.8433859653952,1432.1577429628153,1163393.2197539953,98393.23008718954,349065.0016681973,-67683.96048789858,-25.038271914764533,-859.6137133340236,44701.708004418375,7.478661683796988,2655.2528435640743,0.13192739229394904,-234.72139002817366,139534.54117390607,15607.994710675317,-184.55929863741602,-4250.547381713776,-1160.4893643662954,70388.40737838532,-1086.8091082251224,-137.36234586085786,164261.63341167642,12.217258478387283,1922.686443743836,282.0745570251299,-108.13284379759388,0.3043680629592362,-17823.64148706078,-2346.6312423362256,-2499.699317176904,-10.069717076194483,-26206.44548831438,-0.15433574658646673,89.55895832109978,-51083.03524356295,724128.8629697708,4301.676329221843,-552.8670422922363,-19405.818470351576,-222936.14905305978,246.24034839398524,-244658.28112168345,-44.3691439685464,81825.87265351016,-14068.858208072776,12.818888070931965,-1307.4237006681458,3.60067474655921,-1702.8259612671113,136892.34177374857,50161.370686330614,-472.969962273755,3396.0724806597113,-6574.035462972236,20342.80576171187,-18857.98965469004,267.4666844257101,8187582.457453367,-2462.9276442079695,24666.494315888576
0.5327272727272727,-2913.537443862965,-1092.7281728726284,172.8955417786719,-5.121680828379566,42337.473229149204,15.707147164338263,2865.5881286634417,130.6114944166417,142926.99620110792,13411.137853115115,221.3352612585255,486866.6412627514,-7436.679119952149,-79.71572852681774,-13.64091490760739,-6744.459252526447,-73.74912246829082,2.89087005216716,67893.1279907174,92397.24730068284,6255.023009647542,4209.2737998262055,21.57160068779242,338.63160860507463,494.55019450862073,-959.4597867000973,-52.39487598564181,21688.837635068026,-758.0316911848097,-21.790647763026673,577.5403113285261,340915.6885040143,15659.225204421396,197807.3297932099,11973.072715258093,-16649.93624973741,-226.71909049961104,15907.524410681048,11.83819215805314,-23.066988246056226,0.08886139087636394,-73.50988031566426,72214.09586143457,2474.821126716285,-97.98123465990099,-3964.264422704059,-266.11546293733534,14948.989409667005,23.490763254425733,1151.6377304457587,-3354.7489125296715,9.759438584077124,374.6093258936062,-979.3539707403771,-10.644655041331275,0.30436809780527985,-5266.518928419513,-1491.9605880298473,-1608.2243415782953,69.73563419696885,-8742.801933604707,-0.15374696340184402,65.74317774243193,-9093.400477912603,79456.43328227077,134.20748770712265,-502.43827031958,-4330.673450782313,-72936.61780303443,158.74712332721526,-108698.87487165812,-40.63754603014191,29749.69687227916,-672.0087817652302,3579.5929702801122,-289.83480289654335,41.118316781993606,-83.29829704769503,91846.54489875489,12392.700764522138,5.648583271142829,1977.3315138913467,-198.6584487930729,4387.588476574627,-2134.309234761832,116.82377065803591,454901.8324533799,-520.4073805170876,8116.08562450767
0.5915151515151515,5693.862458518798,-19.797558369514682,87.83504072755645,-5.884373520809089,1193.9511344479838,5.420727444756666,756.1798645761454,127.94128269830139,19142.615341758257,11420.110509390457,681.8515729072011,96291.08657532744,-1676.7157409888785,54.076050062977956,-16.092848762050554,-127.72360340488859,-25.463102138675,4.198783876729072,12251.244201680245,-475.5491164964653,3147.732482304584,435.9678306512807,332.6864745770686,399.09001319677543,241.21952129718295,-914.2649624433335,208.0939889383824,-773.8789176251674,-150.0148759707524,6.938990349315025,342.6195960155017,87125.07131654595,2280.2044525474666,69014.33760573526,27774.84810593378,-14916.037812224737,130.8677320703432,5294.055660703223,11.877990932639271,48.87594011883791,0.05069729267013989,-14.228211641551983,44087.5685177416,785.366414827565,-25.410464364550887,-1332.3574402441702,-21.646478227331457,2150.3248589364403,86.15459121390035,881.8692978412425,-51.67906921209243,5.906765135861887,86.41616500482517,-358.5822421075427,18.350131237020044,0.30436815878585616,-1905.7649000105012,-494.79686121053527,-830.6854621457501,117.17382849721376,-2620.8456347417355,-0.15318247961336875,47.59195562034202,-372.78094051790583,7351.331719796114,69.43965787545955,607.4013293278089,-464.5696604325859,-21021.545537365084,91.90127529796813,3631.5313783767347,-26.747325324695627,12296.742770754676,1006.2773511042907,1088.439283794689,93.59947761300607,36.42395035225806,206.9977540347164,48441.2402112739,2415.8011064330553,16.585314647657672,957.6535964583953,288.41384738751907,1150.9632324593445,-214.43693555482508,86.66092893718864,44061.488703398885,-98.26757946635445,2524.8639448613517
0.6503030303030304,4364.637360913233,851.3420786745787,49.34275412779091,-6.3016038839521835,1188.2737663219352,3.6167554412484533,447.92006855077665,61.538275309770505,2497.545029308944,5995.68863442847,409.1301983986502,18265.00259106015,-255.5377013557338,45.2262652499176,-20.70516488097106,31.99227795543894,-1.793287695419512,45.73277289905788,1951.9287720434302,-11258.112074177774,830.3741449038241,54.25304801246465,48.540554783599596,257.7801988323494,162.57151105278018,-303.00278586630515,410.4780221795213,-363.4588125813423,7.152992690961711,41.78467728719422,243.0014624959224,19927.311550981136,254.2263642952733,30021.034871404616,19552.541465384806,-5596.6608590743945,107.27096855770586,1716.2498746115923,15.549499791393858,133.76453197389435,0.02245834742987863,5.22867085267768,20479.920080323962,-412.46903435317114,-23.232184449828036,-361.78401488150945,13.245897892943683,449.7751764079517,63.500698804516446,422.0775498323814,-11.164057373992723,3.7353861858905923,39.96203312590375,-54.82397928319604,15.614421127823118,0.30436825976018717,-80.60169948002779,-147.27131797546988,-217.3747015970181,111.71778911285234,-652.640861735496,-0.15272803937838447,33.67825950630169,129.82490976834498,3278.9283995342994,-10.93874187210813,360.548546175369,60.537200799125436,-7962.482060726555,55.46413396900207,8706.833136246256,-20.908580099802172,5147.948825496028,81.55118543100875,146.7937607740849,93.60422328647384,23.206131182740382,166.43082908092293,23734.66208630558,391.91701238167553,91.69403165039321,399.66180577244216,829.4293198503136,456.6882691247876,-38.889316669851354,69.32856975627233,12763.983820618061,387.8899217986982,853.5866011842116
0.7090909090909092,2459.81656019534,640.507911263802,35.17020405308778,-6.494900339631904,399.9458855385879,2.9551433170416033,122.35090064685785,36.56086994936826,-90.61868216288019,3333.582433319952,291.33957950850146,3826.7987338220078,25.29894390999316,42.622368218547486,-23.569027853297136,343.7580631980667,3.5383619921551652,218.00770968278923,521.7257081419427,-9590.37672247589,333.6006768894138,46.687504023430854,-13.975086414608585,158.60916319879638,112.50364760426382,-147.12658032059892,388.64943946653455,-248.8538167429294,18.243600416452527,37.138772796863755,238.4082313327644,4664.145047166754,5.374289398068858,21871.67354334297,12777.447715517856,-1814.9716500583413,90.73621681767148,708.6145597272069,21.582761195065288,235.65180017968478,0.005575079103489234,8.557878304705023,7942.354650775847,-271.01191147440903,-33.857996910653526,-92.86397083165879,19.080693168297067,330.9930415375702,79.77109234082523,194.06102462084752,161.43275875229097,2.7323909102746664,24.831126382386238,34.323153894450044,10.569018651652804,0.30436841775531676,255.7992788364343,-41.05256793745601,-56.90614225585364,85.71081591277505,488.9964674611012,-0.15255094789105447,14.96355240812142,45.005119992744135,2609.3888488290772,-33.60352423149026,191.27977794084987,59.00957493892582,-3444.876347709217,36.74511708076559,6150.721319938208,-17.015282745976496,2797.6123998003095,-43.726234457713275,55.18683870045442,75.76836237819442,15.708818706656103,90.70956153278308,10627.11130509993,101.21588658081801,151.9559106937061,148.80822924216665,927.0541978623645,342.21884780142534,-24.200817187489537,51.99862916945016,6225.105402693661,223.9371478300422,369.7821579388782
