,Y,Mn,Ar,Nb,Pd,Nd,I,N,Pa,Er,Sb,Ce,Ta,Br,Lu,Np,W,Ir,Na,Ti,O,Ba,Cs,He,Te,C,Tm,Hf,Tl,P,Li,Tb,Ne,Al,Pt,Pr,Xe,Sn,Sr,B,Fe,Sm,U,Eu,Ag,Yb,Tc,Be,Gd,Bi,H,Zn,Zr,In,Ca,Ho,Mo,Dy,Cl,Pu,Ac,Cd,Rh,Os,Pb,Cr,Hg,Ru,Ge,Cu,As,Si,S,Sc,Mg,Ga,Ni,Se,Kr,Co,La,Re,F,V,Rb,Pm,Th,Au,K
0.18,1358790.4797201697,-196628.44585032453,1956.1197365007602,-495719.6763028654,4899.717684335832,-86673.66354868919,16142.194751912875,-2083.4168604872275,44783355.97015329,845968.4086186709,3604163.4864824214,1053675.9936109337,397707.1437573148,65518.97180215881,-66757.20236748783,15089606.966323523,1095889.4891787148,-200915.5742596369,1575.608698963715,1203601.6132941663,-818.4291530815043,5829258.474398108,21912.71329646558,57.87286346675035,19802.535859761214,-1460.623340718289,-232843.48102196323,-203014.40298414248,17368.70573878083,-4082.384824066665,-13735.201202861255,222357.51795410793,799.3464318752535,1251.823265367207,-288044.5732152384,-551068.2291439397,9703.235904051458,-155023.84092034606,-428463.1487503569,-2550.83212464364,-5343.571456565732,3971894.714417998,6039832.470942508,9435.45342231267,7821.381963392339,14355.810747340498,1419930.1056777658,-2095.5387505356202,-86624.56531035839,1193984.8625805795,2265.1112404793544,3946.2069759257092,4615259.984504033,3112.6016560684316,47270.9018260132,-22365.732669515866,1682123.983696629,-2347.437700675514,13575.596642139148,332290303.98442185,-159654.67111353955,8297.374411301078,27115.548348229728,4335426.989318572,76131.12958990263,1307631.3629044457,16111.825800412898,-184942.07556996218,29989.98917945923,4936.386649947123,7373.405919520284,153281.39407666138,50879.43280658064,29035.82193970143,12876.109279292948,31715.33052878907,-25990.616216669536,-9296.99992326833,5424.23510885517,4687.275846449132,-28764764.021632496,-49535.50771897066,5401.72645988825,-480777.1388036203,5670.256680973774,-21914.7283643155,-270212544.0302155,16055.339474140283,21741.709890707225
0.23878787878787877,1340756.4797201697,-189239.38335032453,872.7405861101352,-487065.3013028654,439.39322144520673,-92830.67136118919,10664.505298787875,-1381.4882716200402,44474927.97015329,829642.4086186709,3463757.9864824214,1037550.7436109335,379876.5187573148,60593.82727090881,-74359.81955498783,14937269.966323523,1068605.9891787148,-203068.4805096369,1067.7130690809024,1170438.1132941663,-1195.499404546348,5794164.974398108,15981.923257403081,28.354587252150743,15880.737031636216,-1502.1139413042265,-238709.79352196323,-206795.71548414248,7018.42155909333,-4321.14239242604,-13320.644562236255,212491.62732910793,374.43090453160255,712.5782702500193,-287354.2919652384,-557318.1666439397,3969.387271238959,-153915.77842034606,-427011.4925003569,-1905.3429889014524,-6861.787276878232,3929317.714417998,5987579.970942508,2255.5725629376707,3141.331670423589,5982.526567652998,1378357.8556777658,-1679.0620659653077,-92954.45593535839,1153799.3625805795,426.05719384859407,1563.4650325663342,4540954.984504033,-1716.8819865096934,45257.6830760132,-29870.707278890866,1630950.733696629,-9959.25288622239,11699.578087451648,328694271.98442185,-170320.71798853955,3508.9969698948275,22084.886238854728,4200485.489318572,64365.39521490264,1243469.3629044457,6002.9366402566475,-183616.12244496218,24243.23917945923,2665.9330366658733,4652.402501551534,139955.75345166138,46802.98358783064,27423.74772095143,11782.072169917948,27394.81295066407,-26333.344732294536,-11512.34074358083,2278.5268569020454,2579.933317152257,-28571570.021632496,-57410.08975022066,4112.013569263349,-470091.7950536203,2394.574063786274,-28551.5408643155,-268134832.0302155,6105.948849140282,20463.741140707225
0.2975757575757576,1305311.3547201697,-169465.25835032453,433.3664100855364,-459520.2700528654,-1085.7133459376057,-93989.21823618919,8850.823658162875,-9.290546323623726,43769007.97015329,807218.2211186709,3157680.4864824214,1011990.9311109335,359954.6750073148,55084.69836465881,-75198.50705498783,14602899.966323523,1023027.4891787148,-189555.0117596369,828.5814772840273,1096965.3632941663,-1625.8625637258376,5722647.474398108,13740.446694903081,13.06883114107997,17217.803437886214,-1269.3844491163304,-236146.15289696323,-198467.29360914248,3300.56316065583,-3416.7608006283726,-12280.198273173755,204230.93982910793,193.51620116246193,659.6913073593943,-267109.1982152384,-558879.1666439397,1877.9631989733339,-141775.46592034606,-416868.9612503569,-728.7046832373898,-6735.157394065732,3842865.214417998,5888697.470942508,-324.88559746272017,1397.9116264782763,2979.057085231123,1290832.9806777658,-868.3466118629533,-93193.52624785839,1082395.8625805795,0.13657483766877357,644.139287937428,4374464.984504033,-3223.2926310409434,43023.5385447632,-31862.808841390866,1521170.358696629,-12543.74214403489,9459.02144682744,320237759.98442185,-171763.38986353955,1803.84230680889,18988.015145104728,3908915.989318572,57703.47724615264,1104183.1129044457,2483.603388303523,-172543.62244496218,16739.45011695923,1770.7210005330605,3689.9540152242016,112805.51907666137,39658.96796283143,26312.96842407643,10371.659083980448,22538.83834128907,-23255.381841669536,-11077.681563892538,1073.3518080739204,1616.836149183507,-28100058.021632496,-57518.69131272066,2569.8482860603235,-442516.4513036203,1146.9904456222116,-30513.0018018155,-263188080.0302155,2597.6253628121567,19752.155203207225
0.3563636363636364,1238333.1047201697,-134369.05522532374,229.52159197069804,-405291.5513028654,-1499.2987951563557,-92467.02292368919,8381.770923787875,872.2291966424705,42378235.97015329,767822.5961186709,2619235.9864824214,965359.3686109335,331448.3000073148,46680.65148965881,-72137.58517998783,13955121.966323523,941270.8016787148,-160407.46488463532,670.3606520887148,961918.113294167,-2231.1015773975146,5584245.474398108,12681.504312090581,6.518029387255407,22044.010469137007,-859.6450081979658,-226585.91852196323,-178153.10610914248,1681.8239028433302,-1832.6928074643101,-10380.175812236255,192290.03357910793,105.9041863923501,797.5672839234782,-225281.7919652384,-557692.6666439397,1031.3450349108339,-117747.73935784605,-395149.4300003569,-112.60327332488446,-5633.224776878232,3678229.214417998,5700318.970942508,-1356.2133257342045,658.1793266743808,1739.5823537858105,1131900.6056777658,-127.8358467872697,-89567.22156035839,956235.7375805794,1.5210441085729391,246.02083395872774,4056441.9845040324,-3372.4313029159434,39491.5385447632,-31392.976810140866,1321365.358696629,-13313.42671434739,6358.68746245244,303756287.98442185,-168142.12423853955,1204.65285368389,15680.580574793812,3375117.489318572,50529.37568365264,866325.4879044456,1145.5310006090021,-150313.1849449614,6670.471113053771,1346.675468306498,3439.2992300679516,70858.66751416137,28807.38202533143,24939.75358032643,8220.154201169533,15917.660606914067,-17221.047857293743,-8937.191329517538,542.1068129567328,1017.3590373671007,-27166734.021632496,-52850.28115647066,1540.8435253183338,-390724.7950536187,605.7427039229927,-30501.0076611905,-253446288.0302155,1191.3593716020112,19064.586843832225
0.41515151515151516,1126449.9797201713,-87042.19585032374,126.07505876876098,-318310.3950528638,-1369.6757482797718,-88512.46823618919,8525.198658164458,501.4458409307678,39976471.97015329,702657.8461186709,1865014.9864824214,887149.5561109335,286743.8937573148,34855.7022709104,-65474.30002373782,12857075.966323523,811783.9891787156,-116623.55082213531,524.4417067762148,756333.0507941678,-1540.5448147014101,5343888.474398108,12004.433999590581,2.3871950465774416,28887.3698441378,-330.98622523779346,-208892.66852196323,-144593.96548414248,806.447193859747,938.2424952724406,-7630.681183329609,173499.95545410793,59.57447447888156,658.1818469133433,-158892.16696523761,-552610.3541439397,697.0897858889804,-83280.05967034526,-358044.6487503569,-44.69969742647973,-1260.3579555883773,3401509.464417998,5378515.970942508,-1759.643867726392,322.0448357083759,1169.9893362076855,892297.2306777674,70.74121009987178,-82083.53406035839,766683.7375805802,-1.8881998323381508,174.39694785112127,3536275.2345040343,-2766.3307169784434,34005.007294766365,-29152.326419515866,1018329.5461966291,-13173.51655809739,3002.404747610274,276017759.98442185,-159757.46798853955,1089.604269700307,11604.086434168812,2567481.2393185725,40517.25458990343,552831.2379044456,673.8723092027521,-117011.9271324606,-2693.034746320437,1080.1521528776025,2634.7731070218683,26765.606967287957,16998.290228458012,22835.71061157722,5399.282130858616,8463.416466289067,-9668.532232292951,-5740.786056079245,284.5986647649574,541.7447795553926,-25557934.021632496,-43909.476468969864,1255.8277782486155,-311604.3263036171,354.44878912807087,-29163.8123486905,-236731904.0302155,585.6416592004593,18139.743093832225
0.47393939393939394,961965.8547201712,-39679.094287822954,70.2118767040577,-202131.33255286224,-978.3204626336567,-80973.17917368602,8419.597095666042,213.34519396048742,36263619.970153295,606161.408618674,1053297.2364824247,769771.1186109344,225389.7218823148,21261.217895911977,-55162.20627373466,11211941.966323527,636625.6766787163,-66381.05863463531,368.21639549731395,501754.67579416855,-528.4976345242429,4966702.974398108,11387.576577715581,0.24417376181074374,34740.549531639386,78.61568821752282,-181930.05914696323,-99783.9264216409,229.88094019763767,1825.9295069935665,-4523.615265360462,146135.04920410793,33.56965651742301,298.6989672746715,-74074.80759023681,-502129.94789393654,608.8757966327518,-45971.74326409447,-303284.1175003537,-31.016752172243045,5645.807449685852,2985378.7144180015,4885476.970942511,-1798.5102007334126,167.2291618818348,874.0026418717481,598510.605677769,40.48967278004156,-70477.19031035522,533089.675080581,-3.9299959197153873,244.07362937125987,2804090.9845040343,-1729.046903501089,26582.647919766365,-25287.297122637698,647737.1711966291,-12385.958940906721,802.0274893118687,235046607.98442185,-146000.82736353955,1043.266134935474,7044.8613365141455,1582764.2393185725,26830.38349615422,251181.06602944725,589.138910766836,-77701.3411949598,-6206.420488506353,831.6198652807382,3240.057286710952,1420.7021821332894,8025.23749408539,19643.90983032801,2584.4701191398667,2719.4435659000264,-3193.9934139327843,-2614.7499232651617,151.08485556323168,28.03942105172752,-23084246.021632496,-31517.287015844075,812.8269847926731,-213208.59192861713,236.67065192103965,-26616.50570806233,-211240240.0302155,374.1041225801576,16806.799734457225
0.5327272727272727,782322.4172201728,-7506.297901102619,38.64593966696909,-76700.38724035906,-561.9909948570514,-66797.65573618286,7293.8754159801265,81.71855364482097,31091161.970153295,479888.06486867403,426514.2989824261,613240.6811109344,154280.8781323164,10754.28918497844,-41810.05002373466,9067282.966323528,439240.5829287172,-15673.046915882143,209.76513206997552,264495.6445441701,-26.030990233965724,4427677.474398108,10679.600015215581,-0.1746929009250557,32641.28390664176,196.26610936485267,-146143.34039696323,-52503.5826716409,-157.10352635430473,1642.4729640303601,-1956.285065163566,110720.66639161111,18.3764611767813,425.84844237549555,-13871.540988671943,-420569.66664393654,651.6941560093356,-17574.157326592882,-233016.91437535375,3.1582854545644943,5822.028152812436,2430065.9644180015,4206583.970942511,-1651.0501177256,100.37932362658277,686.1718923631971,317258.7306777722,48.44283211944455,-55162.100466605225,305815.86258058256,-5.175805002040209,127.9786434109297,1929311.234504034,-605.0780924643487,17862.886201019533,-20021.79126325953,306038.95244663226,-11020.176714344221,47.61018051003943,182075855.98442185,-126484.75705103953,918.4923312277043,3263.043465423563,687444.9268185742,11186.949902405011,63221.32774820041,636.86205529967,-41861.02088245742,-3477.6587697547693,572.0040815909159,1301.5279898399122,-154.42048326564836,4156.478705028433,15234.362955329596,824.7278095743058,445.3895497883293,-382.7981624655646,-663.5065150588688,79.20068503496489,-91.09694102249424,-19669650.021632496,-18353.94326584328,270.6979259569603,-116976.74036611395,185.4203925216256,-22907.97445806233,-176506928.0302155,310.0893520747209,14963.80168758262
0.5915151515151515,590096.917220176,1221.938549096653,20.179741707755326,33749.397915895686,-279.33913938354965,-50193.97604868285,4962.310962861462,34.92619143901179,24622787.970153295,336199.59611867403,112162.55679493089,434590.9623609351,87424.15938231797,4868.262329516025,-27212.05588310649,6592477.466323532,260463.61417871955,5506.593220839774,79.04329216677428,92754.34766917332,78.61721838895006,3725924.4743981096,9810.077554278081,-0.49512478655367975,22209.237031647303,80.89502325295871,-104874.8872719569,-20104.410796639317,-255.62597203143176,480.5595424090043,-531.2972721924402,71137.92420411427,9.280201109940299,547.3974841298781,3602.1623804726414,-321396.79164393333,756.270755136765,-4732.951760183465,-155778.93000035058,23.774038397893595,2837.531326643729,1779738.3394180047,3369488.9709425145,-1377.6657183107457,77.37749257664701,507.3833181444471,121735.98849027853,39.27765955362763,-37834.41296660205,140104.25320558494,-6.1244477964065265,10.953617095854218,1072036.6095040373,25.901640051454812,9475.4779978977,-13959.065677322029,89169.87432163859,-9130.052690900386,-183.94032988853516,123105447.98442185,-101835.24923853637,786.1843478340186,820.3982627931799,156566.05181857652,-1210.3690673191759,4372.634388831748,618.3697457333172,-17364.21619495188,-908.5209523672049,324.0432051300319,170.55588291186208,-259.4712187329455,1836.6257997637074,9989.904947520263,165.6118733029284,-8.868022382575134,147.16500282239028,0.8467545244932793,39.926579969279054,-21.99659731510278,-15457904.021632494,-7346.248441622156,-50.90609320441596,-43841.28724111078,167.76466132084968,-18256.29867681233,-134514064.0302155,290.38793606305575,12608.557546958016
0.6503030303030304,386398.13597017917,866.291149199061,9.052343231104762,82599.05025965361,-163.3376745318801,-33357.343236176515,1326.3135263459442,24.155843856072256,17458623.9701533,197995.04924368038,20221.29898243881,257411.66548593593,39220.91328857114,2183.335571714612,-14058.857640914235,4112501.4663235354,134566.8641787219,3543.3185626429854,27.56314576027714,23147.89063792886,38.22238578618162,2895555.2243981115,8766.261148028081,-1.2065960719159423,15599.48996134193,32.376605909211456,-64383.18805320374,-3418.757232184608,-173.69446873315746,366.13843036350454,-73.4567799403413,34486.365610367444,3.7775205764880866,57.77664597409833,942.1596949313102,-220564.22914392385,858.6902497751748,-997.4856346904322,-85403.70343784899,29.14891443369571,1692.8487094609804,1125521.964418008,2454711.4709425177,-1026.0028765130787,77.23319021481859,311.504961217189,32217.521693414612,26.325307048038898,-21445.40906034572,54372.495393089695,-6.642141353388283,24.871206291395843,423561.297004042,124.63702595098194,3348.519501813453,-8133.512942940693,12840.454399771508,-7074.094683084718,-204.17052396607684,68395151.98442185,-74221.1476760332,628.5934054583337,82.95424729975366,6399.079162330474,-1246.4358397769454,-71.00697621160204,551.670282848236,-3296.178109007254,-512.3731862460041,151.8648756685941,-208.38962794289225,-187.72657455523517,457.7750917709421,4964.806802993765,24.52115790569058,130.64209801560622,177.71041298497593,350.92427109057485,17.489568261616434,61.02219961200923,-10877514.021632494,2180.263765413054,-91.04828985384873,-12067.71106922786,163.3009009452691,-13157.872895555996,-90240160.0302155,288.8778652686101,9873.5751250846
0.7090909090909092,206221.94847018548,1484.3462639522825,2.1844605254948135,68650.4096346647,-126.80847682475381,-17927.253392417013,1633.9985849531574,13.915265223650966,10599772.970153306,90654.0179936867,6878.442048854562,115479.52486093673,13994.4298901376,1221.2910160671804,-5037.499730750065,2059037.4663235447,62850.746991225875,510.71349063100433,22.411437159747734,3969.8691535625712,19.831562434595096,2021934.0993981145,7596.587808184727,-1.5984547624683618,9963.95187541631,28.401233617329062,-31829.617740694237,1286.7450871560811,-120.55401157587737,535.458681852899,-21.24119994782937,8519.641000998778,0.4437026279517215,75.28243288410548,42.07745769716141,-125613.73695641753,1934.934146273805,-190.9665001602363,-35053.043281592654,24.565382121704484,1726.86579931265,579985.0894180174,1582737.845942524,-388.7464678192965,82.57324759895285,148.51558134071217,6273.569544992952,10.283208079901726,-9132.071169714383,22877.997346221033,-6.836845595249892,12.757963199455878,90580.75794154676,172.76420796336157,421.19439806635893,-3687.160648012483,4896.466118532596,-4810.148394015882,-143.9081795819666,28378513.98442185,-46332.94064477686,491.0284640647549,14.613335448774487,32.10038731239592,-976.21226799485,-1.6831141239170422,474.2102608850832,-512.5269249125514,-503.0354481978074,66.89463794458005,-80.94795464824455,-102.29399549570088,177.27805199977885,1454.5622961649553,21.08785409010579,111.78966577334116,110.5394153764344,122.71508073696964,4.184861705553127,37.00310324620902,-6588384.521632489,9620.998140417805,-20.634643146347212,-10447.582162966772,156.35062933961575,-8336.938325233992,-50702804.030215494,282.85143705624927,7035.517019617038
