System,mace_mp_0a_D3
01_cyclohexanedione,33.32387708423225
02_acetic_acid,16.001172880845374
03_adamantane,77.53537808457106
04_ammonia,4.540516490317955
05_anthracene,19.14891499055787
06_benzene,16.728278150408173
07_co2,5.281328499117613
08_cyanamide,16.944914166257973
09_cytosine,12.253279995965755
10_ethylcarbamate,0.13499621701174647
11_formamide,15.820602751522571
12_imidazole,9.885116352701289
13_naphthalene,19.609631819132346
14_oxalic_acid_alpha,10.980405680736425
15_oxalic_acid_beta,11.431780887622025
16_pyrazine,27.43643421299383
17_pyrazole,4.449108229118266
18_triazine,34.31448272184438
19_trioxane,4.29598562887945
20_uracil,1.913902520259029
21_urea,0.6583413903117332
22_hexamine,13.987963216626753
23_succinic_acid,44.08704412750836
