System,mace_omat_0_D3
01_cyclohexanedione,105.95559722858509
02_acetic_acid,70.18750089778767
03_adamantane,111.39626673063484
04_ammonia,59.1547082480378
05_anthracene,87.25346295376991
06_benzene,98.88175820939443
07_co2,36.86979997734235
08_cyanamide,31.631101557020187
09_cytosine,4.801506718478237
10_ethylcarbamate,62.41389813432322
11_formamide,23.66435644802972
12_imidazole,47.90247499865296
13_naphthalene,86.61364698882527
14_oxalic_acid_alpha,46.98118881041896
15_oxalic_acid_beta,42.888841827910994
16_pyrazine,61.28917476166991
17_pyrazole,68.51713198656364
18_triazine,32.40554190675649
19_trioxane,4.4054259532149445
20_uracil,23.385111228210263
21_urea,23.87564634334953
22_hexamine,22.928934999766525
23_succinic_acid,70.98127765042474
