,C,La,Er,P,Fe,H,Zn,Os,Pm,Eu,U,Na,In,Pa,K,Cr,Gd,Li,Kr,Ho,Tm,Cs,Yb,Re,V,Zr,Ta,Cu,Ge,Hf,Ti,Be,Ga,He,Ca,Xe,Sb,Np,Br,B,Mn,Th,Sn,Pt,Tc,Hg,Si,Sm,F,Au,Mg,Sc,Ba,N,Mo,Co,Pb,Ar,Ag,W,Nd,Cd,Nb,Cl,O,Ir,Ni,S,Rh,Te,Dy,Ac,Lu,Pr,I,Se,Pu,As,Ru,Pd,Tb,Tl,Ne,Sr,Rb,Bi,Al,Y,Ce
0.7090909090909092,29.930293252503425,164484.30789096362,-1011.9941807615185,174.22557393839534,426.94335649292555,-6.388927095918525,555.0138859408246,1398.6938103432753,92504.20931285295,144.2939539429675,2014.9289909371396,88.64412670253218,258.03019762664223,-4282.692161200398,1012.8530815031896,384.0256015718456,1337.9940782334581,6.792539390707617,55.653213053829354,2.7453168779809625,-3690.3701696285593,16456.436095590587,228.68142417088944,1085.9409147076756,727.746210884533,-907.4294229719583,460.95798478742967,934.9584173198272,502.0327929595386,1091.488386614374,430.7841251139891,28.8011020267584,517.1774205338933,3.746954340120335,82.16035273095432,1429.4644517158251,155.92534613308962,2329.636671616714,532.8187717245764,38.18492214168574,449.2478978471844,-173226.99158817154,436.16623674821057,387.89783163214844,593.2812167321639,1072.5309793297738,112.60937557715697,-212612.69953007717,56.0745810399018,420.49868015567506,132.10013826368845,272.7120223524877,34818.48117721174,21.057862214153193,681.6523912936416,78.42076580164199,526.2706597344164,-4242.419484433756,283.2136572696405,1566.924250349911,119241.63295839111,547.0537410004608,593.1832849682551,307.0530761233116,35.809218185452245,389.517627959219,800.8067338808385,196.64917515503674,668.6157216791543,305.8628724697696,5555.455232070341,-985515.2413656004,219.13106495032545,-535382.22254874,502.977455117482,311.4738101927563,1434.7757262390242,237.17895131221684,900.9214232367847,250.13412025371863,13503.0458322888,630.6673255710457,6.015286427036475,768.856785729246,-642.3580828450141,280.4840686064094,59.82205666793991,178.97911696646437,-10665.318469249996
0.7678787878787878,16.903937989020278,69600.77664102064,-290.85874364842937,144.52794255862423,275.7380648842629,-6.41018505448697,407.33410710983776,1048.2972039929975,43065.084312967,132.77080639163793,1262.61649103851,43.04502472661801,199.69848691258287,-2272.4309306302775,338.98439866403623,239.7867864923116,1143.333555911905,8.307213205115133,48.91623675657988,55.6076509923365,-1539.0470494100018,13865.022033094545,199.8808871565491,848.9476286635622,496.64907362343047,-149.0351510263377,602.137733392278,614.1057563517414,341.530840040447,698.1910844189653,267.2743596252054,21.629025430682596,369.7659826913318,4.359244881589658,21.291443110550787,1510.7121326364813,146.95717616347898,1461.5667254416933,431.1900488841561,39.29074989454905,289.2992895849633,-89208.73377557017,301.8645095895051,314.6339157780824,508.2511571901435,911.6710551780944,95.40430543634757,-98441.06671745046,36.78169642667366,331.6784899033856,93.6925076600605,254.67328040743524,18828.672583512423,6.419611804516411,501.1931324631791,52.385895815495836,418.05425966395984,-3769.4956558430868,223.91299828635798,1172.8272045243334,28706.40444286749,447.44985937359957,482.3333095850582,240.50400431385302,19.768639628393153,297.95009272355514,531.3345661084935,162.62560077893374,542.0474235927363,262.27672155579904,2636.7355056218817,-611748.991365537,153.39258545010924,-275378.5975486133,455.15845510776023,257.40392522395405,1016.523467988928,196.5903895729308,670.5965333091422,188.4466204913053,5776.599543314999,512.151334417129,3.734935743460795,418.50342277449994,-207.53030878765912,228.6823261635722,53.96818271482271,-817.9734128457275,-5193.321398920074
0.8266666666666667,7.835148261237512,17211.81375047167,70.57469767840675,120.13737927169443,163.91930898348787,-6.316899968112093,290.90841774519345,787.0719844184905,15004.510094394398,124.20387375776477,610.4935053507216,17.243505399221377,147.81272961834927,-854.1053079322996,199.13906178481977,151.3365609980226,1001.2394398910368,8.271505884999625,44.278316858450175,150.18260232893826,-395.61519500989937,11062.297423726674,177.73910264063582,658.4642914006026,331.6631425057144,132.2023826950537,490.4161148413046,389.1238229924102,231.02528614533918,415.62043630480144,177.22394479838704,17.40010059054199,258.3049843842588,4.793775850034421,52.31836185125917,1618.922826372827,132.83095574545797,899.7715596034664,345.4999553461819,31.036397944278203,179.52447899352043,-34877.59315041811,229.49811575244473,246.5685168552506,400.4897440150703,718.6313825704542,80.51564171343276,-33343.9026547984,24.331449930166922,258.01168107478014,70.16209734962533,223.45674310924733,7733.10715388828,-3.156639086939557,364.06141891277383,33.925553645855935,332.83077955339206,-2922.17168055263,167.99945487345792,825.426203655477,-2382.0362307832374,362.6641541176399,397.372097730966,185.68286851082192,9.104830271823436,232.67099445039963,344.4180014585269,136.10629907601233,420.12539637231305,225.60533514115994,1045.4935624272334,-321791.05386543565,115.26020037360102,-110162.37879843592,394.946327767506,211.77736924562217,664.9658508711201,163.55122066688858,482.24930460934684,132.8132742789807,1538.5339916965709,407.6130959804373,2.2989433789300446,272.82471195104154,77.86468024026794,207.75715542986146,48.389951270766645,-575.7464839890702,-1701.6395141291061
0.8854545454545455,1.650944456538451,-870.9909979431111,189.7463898010212,98.42259753887555,102.44007648684156,-6.130631082747623,204.60540918399585,620.9067014307775,2901.6282586976536,116.72010917268372,231.6024685788289,6.2813968821954935,106.63725376271023,-111.44229044393848,113.36496057818071,97.90273885086346,866.4614250330864,7.4939754365811595,41.025845625207275,181.07803407557614,0.8134345569251241,8257.777892484593,162.8503699522271,505.88976766805854,231.3577382417741,142.71703134162996,382.4922563476141,241.99342171687127,156.9877499582371,251.8192279227493,123.5876688478773,14.813694164554638,177.56157649158035,4.831913619855761,75.34192567976405,1683.6858884347944,119.36104648930609,497.93562238223467,279.73396478781575,19.619563049524118,119.12749898981207,-8592.236704877529,175.85266926654063,191.97865818858634,300.7164596858402,532.3289537228637,67.64590674326536,-7123.8455256514,15.89005843392448,198.24877250670062,54.94700249484845,181.42869771154406,1757.2194586771504,-9.344456731130814,271.94151577914454,22.020482729435805,259.50903289194696,-2014.2555418784605,121.48473055066167,593.2825270528878,-2152.6800293579367,292.6689152969869,330.3522006945167,139.89357809200393,1.9817823297795902,181.211415324751,216.94793961448437,113.41726652122603,316.14810198263217,192.00220142304596,382.0831317851274,-136571.75699028358,96.94859325985131,-29325.376845057493,336.99897108395186,174.33480392953965,407.46914687092794,136.7171147949519,340.6391671133888,93.16869012056708,255.33950337392088,324.1868876110565,1.4450846984211696,189.16489156546334,193.38688179736081,187.23225332369813,42.919340224359495,-345.38488100312645,168.8825043446927
0.9442424242424243,-2.6352908872777148,-2280.4145207402744,169.23151279846746,79.08398348355861,65.09506041916624,-5.863498460100644,144.23341582434816,482.9611450942634,671.4529660710282,109.31764344107023,132.56717529116696,2.8071068843053517,79.73542911248146,182.45996964881874,60.5625810397185,62.161543853234285,741.6826778546313,6.539686785940645,38.68968402742218,170.05976962185053,90.24069388899396,5689.253478434764,154.25518592383054,380.1318944021672,161.18560440623236,76.67078987281569,294.01834907965156,149.50195185829836,108.4608874683144,172.22712602719133,94.36087788419388,12.903572072280111,123.94674692115345,4.499784607565998,92.24568150131675,1602.3547124309237,106.33814362980256,335.117812678437,225.3132351093282,11.335577246022316,80.85276489505516,-741.5587260577922,134.55077453992376,149.00028038053253,220.93673637570893,398.3194937614896,56.94348851397645,-667.3558402506814,9.898912021416377,156.2018217259425,43.48556619451072,136.75784540837515,315.84690021011335,-13.202928319776856,201.87089872425642,14.798396301343846,204.6006011131942,-1213.375535623981,89.11257689136546,450.355861008534,-599.0433102531408,232.91500967104784,268.24340613038726,103.55440707504708,-2.744086725567206,139.2854667159159,141.45801099814489,92.0384379019923,232.83105559842627,166.11174488745095,164.43647989290122,-42329.702302568156,86.48465012686644,-3934.9076064087744,284.6452730472362,144.39318489913344,257.066376020554,114.2925932028442,243.12079615225068,66.69259371372219,89.11671006091636,255.13992122621667,0.9719016533432685,131.87595138286596,221.32409190729513,166.8078457005029,37.80119597661621,-256.09438388551496,603.7168702401044
1.0030303030303032,-5.563675867302006,-376.6254885424406,141.44901202125945,61.82004264040346,40.88823572669094,-5.536620799468262,103.27045744713017,366.88442432100965,296.72561057016327,101.36798993912701,123.05148203209743,2.3259988809937973,60.55502868224531,221.29946285215155,37.89651210715927,36.729831677158124,635.0761720455048,5.572895583805375,36.67838622143888,144.30877823138528,109.20047215184903,3564.3660272803118,147.6123640700224,283.4111000982358,109.86800873729844,62.35378129979331,229.23534460084556,94.5829843070183,76.34894219866241,139.50704872478698,72.91008805546407,11.234887581386468,87.66767190998452,3.9526663429827793,99.16530671692023,1441.1799087761335,93.4504643743828,270.51170355347665,178.52942288405544,6.384598291762804,52.48920953171745,342.03746576661024,104.73545222781955,115.80518217198987,156.22329755571172,311.09042949482944,47.28782360718498,137.69529239496217,5.586710903912011,125.35695854393309,34.7298263549261,100.08737470481351,234.53913061212074,-15.381759632804506,148.85136832323275,10.522745028488156,160.67298911895327,-614.2809902852634,67.71203447043037,333.4470783473249,48.01373901330432,183.5282917763598,206.8299395531301,76.26375188159818,-5.7756460005975345,105.60586380133057,93.69059389188907,71.17151926813773,169.29025461017622,146.97771253013448,125.7400692415977,-7312.356599164391,82.33464907616084,-115.17391756010211,244.4944561296569,119.28548189595871,167.45037890250586,94.98651063238273,179.47655567455485,48.44315924876761,97.47134758705111,201.3038771522799,0.7330101258767409,106.12981980267551,133.89675429882462,149.29643258561836,33.21760172711168,-174.3814776025803,430.8614015629643
1.0618181818181818,-7.547528491842826,86.41149906002215,116.47949203529107,46.84436004869662,25.922566855010245,-5.178062680575041,75.55617186887812,271.45565290589013,203.16175317150115,91.96750029989269,131.16059054815423,2.8369873651414683,47.11721643460623,185.57221423883786,32.136735167948174,19.508313464568676,541.03601162862,4.659358179639118,34.26127376294936,119.6991444148505,101.16211976841971,2001.8386835532788,135.77816663584787,218.86756727355638,71.50932141551628,70.48612131586215,181.330666629922,65.27194240519614,54.899957276108125,114.36765234874615,55.16739016214691,9.601869432547188,62.21384582932141,3.335778437863312,98.00461758773288,1254.3770537309986,83.62420965310248,232.86772229146118,140.58894911180528,3.0900473196445293,32.95403876419877,225.40746144133445,84.13541637017094,90.94525875841293,110.07201579309927,246.92255320672876,37.744875875714115,185.73893315257405,2.555804899748199,100.85639491908442,28.42219563826793,75.11752673724367,150.510017083344,-16.391486738932446,106.26955946609013,7.826534100597987,127.65991275804704,-244.9438600638749,53.300059683726374,242.5857658802596,137.3092451832217,145.66640022608394,157.666335938211,56.06685496061172,-7.626823600591841,80.69262617243362,64.18094378803438,52.77503737037465,123.90048548353418,132.03110417348014,109.61161375943946,-429.9850167530019,81.41668096606092,145.4472531554215,215.5884515595855,97.6915503553941,126.4433448668451,78.07547087416481,132.6006870703299,35.93431426144788,90.79465130388762,160.72735464824933,0.6274052895414142,99.34459533161983,91.21316059792585,133.37153696627712,29.19980562551807,-86.53554505721459,304.8830691432195
1.1206060606060606,-8.852725595108067,95.49543042207037,95.42347781893382,34.21587677328732,16.453156018737747,-4.81377162763374,55.84823816388675,200.6686053136524,169.980067606439,82.2015016813082,129.88506331631612,3.6378423791012464,38.43894112020054,158.60215267989935,42.739835165176444,8.109483769686095,445.35455507210673,3.864341462234036,31.081373114756108,103.92075622341962,91.07996722105581,999.4898676661962,114.83220637224746,171.49397175372843,43.99531141363009,74.34967794632871,139.661340354547,47.10614157216939,40.39865033332589,93.29719527355654,39.70843351956997,7.98555594424454,44.80443835605193,2.7413641433135023,89.22092012332814,1063.0536913295298,76.42049098584901,200.1490799899748,110.81283594031072,0.7486062983175055,19.46543615430469,149.94408328269049,68.92357961848717,72.55656519266611,79.42616665990896,198.21753732699307,29.458148648034914,158.48504298499688,0.558922650938066,81.24679230754516,23.95108281313083,57.62851013132595,96.98016359199671,-16.61523097262395,73.18369976791878,5.966138893834955,104.36290862221236,-75.11515186407948,43.51971900402774,173.0070768372584,135.68839642282302,117.39741219632157,117.83240645151348,40.77115057151697,-8.672076356549823,62.63892405226145,45.23935586442124,37.71758369152702,91.38525903671537,119.901924779496,91.66919363627186,62.521094911540445,71.35270172516948,143.02791201406737,192.9539623034126,78.90425995301668,111.1612712470318,62.890772851350086,97.77463879253268,27.509839358040153,83.2112779646997,129.94229037547186,0.5871700044992969,102.67338467182333,72.13357845167856,118.58728943786011,25.631835266956088,-34.777106237270864,213.8741123639205
1.1793939393939394,-9.628481711005428,92.42967317745708,77.8865907227496,24.106714071225436,10.168247137693216,-4.4619698771706835,41.75829354900488,149.39278841824785,147.31376315417765,69.77776540048222,111.50132862259578,4.507090009613828,32.96213926996202,139.2947042640831,55.02035296821681,0.7764895902429957,325.4924957733537,3.1846866713529445,27.37709537862162,84.06244272296254,78.36121060536438,450.61749221751273,94.18386902372994,140.2415464805864,25.149802736500632,69.36396874629675,104.48819953079399,34.08346854484844,30.622697100348134,75.00603519691198,27.045537762244674,6.457837250391452,33.470440154118485,2.21404165538985,75.34412926836204,876.567304602261,68.6188876302547,164.1931332797568,86.4581101813192,-0.9224458083476633,10.061628849858304,128.93471537456662,57.0652893229959,59.209665823964485,56.72923172183054,160.80945785304883,23.260676604255003,130.97192150346265,-0.6223617920716111,66.07908461373022,20.631046060745078,43.037114952626105,91.24261518202424,-16.33633261533428,48.5127804316275,4.475642847453013,87.26899150729959,-9.192037452566947,36.538420512703254,122.80622609374959,93.95568575857551,95.73657893227188,85.98428675348988,29.086704755561534,-9.173877402574202,49.048563062001826,32.008469379408375,25.8425231467438,67.08098590622231,108.88604999253313,75.01118999060307,108.47327452552558,60.445171101961634,125.39748105091967,172.0841525345119,62.55306256724831,94.01299443315465,49.344014899385684,70.70148253043612,22.030910183359747,71.8890818785694,106.34448971817683,0.5682461107987372,95.6935804584318,70.77466130088163,104.00689195851714,22.376981558546138,-9.137394885936233,165.83945982502195
1.2381818181818183,-9.993356453544756,86.83902137054378,64.38926235399212,16.152215741236848,5.667556007094128,-4.132773633388591,32.538325608220795,111.77274879498985,124.19654656845513,56.65292599157039,92.13646170031956,5.065910817968494,29.59773204404889,118.67413814607818,48.73223299304888,-3.7572867220111132,229.25418562136485,2.6144310169372225,23.506970776499593,68.60655721262754,66.40155614878834,200.3021846525943,75.34424015757003,114.02551367595204,12.497304915429844,58.74658791317991,76.42519684289908,24.669516746777173,23.748763938310784,58.69973091784272,17.24831355556624,5.095431994985619,25.991977890210993,1.7675426507560514,59.942661745006475,693.6201641963887,59.65007902165023,131.4289899028505,66.36017544510813,-2.102489045170009,3.6381790893199115,111.8884596226525,47.82719671012152,49.23965900760865,39.335012845543105,129.747509219036,18.356574842048495,105.06610015606945,-1.2154700932013582,54.540855865517536,17.886298961596886,30.940108696373315,102.86814978450683,-15.753695517637507,30.38840098485611,3.067210928996396,73.89670089587264,9.796167462930864,31.333424903890666,86.35371234497357,86.37576167866432,78.37888499034729,61.532938102969176,20.30139197846948,-9.31378557100523,38.37322252009008,22.457244239547887,16.78401888277934,48.824828261932744,96.82475800280501,62.568682724948914,110.31956597555211,51.27349591074634,106.51925533758757,148.92358719259667,48.62361890629081,76.66395022890052,37.289685533626326,49.38741346327338,18.50400803794167,62.1464377553135,88.13843575294028,0.5486904000320951,84.99953543262014,77.35674607068495,89.51802464214781,19.26131922088518,6.309320719081301,134.3103767964003
