,Co,Tb,Te,Na,Fe,H,Tm,Sb,Al,P,Ac,Pm,Hf,O,Nd,Hg,Tl,Dy,I,Cu,Au,Os,Kr,W,Ca,Y,Ce,Be,Br,Ar,Ne,Ta,Bi,Ti,Pt,Yb,La,Np,Gd,Tc,Ge,Mg,Mo,Li,B,Sr,Re,Cr,Lu,As,Nb,Ho,Ba,He,K,S,Pu,Sm,Mn,C,Se,Pb,Ru,U,Rb,Sc,V,Zn,Cs,Er,Sn,Zr,Pr,Pa,Rh,Ag,Si,Ni,Eu,Ir,Th,Ga,Cl,Xe,In,F,Cd,Pd,N
0.18,3930.0976377952984,80004.45891808692,9225.27888780333,1368.5950619934417,3607.0993926449632,32.99301183683999,834.1616295104487,8286.008262076073,1255.607414685078,1836.711886063336,-2794370.8663657145,456345.6077501629,21643.975447110563,1144.262495310841,1453795.1017081884,19542.847873601262,17685.411893347104,41994.234528755274,8904.414252833047,6333.411908277339,16768.090018988234,21105.147057242524,5444.465418789946,17021.353937732703,4253.908116976232,20051.544042949197,-30913.23741459259,390.7924531640462,6809.598739492115,2921.524362476471,804.7497907378934,6198.822242485888,10979.087492494942,5911.404425175707,16501.51358453671,13961.460415705382,900520.7922658749,26483.25654447352,14148.504087796342,7516.534329081637,6530.667710842976,1433.3786716923837,7788.2653670320715,113.52049265680353,382.8174898215629,8560.152500928229,18093.057613780707,4326.0292633105855,14597.311866158194,5354.303599922909,8281.315791963021,13593.424865692059,132704.23117714838,55.642776606967246,8137.32201456906,2043.5170485719455,23608.77401717862,-1047938.0120302546,4257.4229464598975,638.1175960178939,5552.292474284203,18021.54251019681,7367.125646530641,25297.12808746477,2416.271372707137,2659.022691101395,4933.789423477383,5464.150543297705,34004.67437683425,5141.983968475146,9664.863105413444,-626.36258962792,-2221976.66004893,5731.966530041125,8532.996641683829,8332.379947242398,1659.2922287088472,5958.060517743744,11972.296532627633,16314.577869395509,-681484.3040883363,5351.739554075865,2168.4968314918924,10628.019138807176,8913.528366407229,1648.4839549304818,9088.915190853648,8011.268183603786,862.048200815414
0.23878787878787877,1894.7751280296736,71942.39641808692,3808.92927842833,870.3019101379731,1710.3734404965257,16.99328840278773,-7363.990775274708,3064.163291372948,608.9139942749218,1024.1709925086484,-2791801.8663657145,446209.1702501629,12845.196150235564,829.7440626952373,1431894.7267081884,9369.150607976262,7368.8835730346045,34068.945466255274,3335.7599559580467,4057.424359449214,6814.800956488235,11632.652916617526,2299.7320203556137,7960.6185861702015,2954.9132439293567,16362.1495116992,-37106.62218021759,294.3800691308431,3776.20787035149,1791.2370089608462,379.79858834531524,-2567.241234076612,514.5582566550976,4402.586554081957,6721.725986880461,5590.093716486632,887297.2297658749,13912.50361478602,6787.664732327593,3413.9603544722627,3884.273423733601,861.8249607548838,3831.996324063321,57.04983149347344,253.5257722938499,5133.356602490729,8797.519527843206,2616.5190094043355,6050.221045845693,2589.925181954159,4435.86754977552,5721.06207272331,125918.36398964838,26.306957362780466,6910.59642863156,1141.804035876633,10869.40194686612,-1046849.7620302546,2448.4021945067725,451.6561397206497,2665.5480895185783,7520.7856742593085,3136.23941606189,12920.151524964771,-839.2928362772382,1281.7004254763951,3331.8238473055076,3071.4950257195796,28058.68804870925,-2813.352457306104,4451.116035100944,-4262.46366384667,-2213242.16004893,-6352.535911365125,4140.97466902758,3649.052798804897,923.8677291971285,3797.5048536812437,4782.4200677838835,6717.937732676759,-688792.5540883363,2842.6716829821157,1178.4184623512674,4887.476170057176,3930.565475782228,1234.7500682121279,4255.172515072399,3475.7840527444114,609.9810011099668
0.2975757575757576,1089.0549131890914,67947.01360558692,1839.695635850205,653.3827206848481,1002.4343535856311,7.3459266484065795,-10298.523978399708,1239.674765982323,340.4133534057812,689.7894007117734,-2761634.6163657145,435943.9202501629,9540.457868985564,651.8187697280712,1393665.2267081884,5698.982150945012,3727.8916296752295,30741.75406000527,1320.053779200234,3150.253949292964,3297.503593206985,8163.1314322488615,1096.7703504369065,4744.801691642119,2390.3358513512317,14677.7393554492,-39000.67686771759,243.36302506662813,2575.45201097649,1238.039743339014,198.85571725314912,-5443.960960639112,-2752.628327814391,3746.3375306476246,3249.3580669617545,2591.2301910960064,868392.0422658749,9486.81513822352,4115.620787015093,1871.7303740035125,2826.336167874226,617.8119602666026,2349.384751804032,30.85656367120782,199.7347261544396,3796.9593856938536,5416.219234874456,1911.1525543293783,2986.4776376425684,1511.4201770713464,2935.5816611036453,2862.263977020185,121959.74680214838,12.305314183121233,6321.41088175656,768.4541823641758,6433.452239834872,-1030206.6995302546,1726.292453295835,355.1757014913956,1552.1204772170586,3814.492461368684,1575.008947315058,8565.358556214771,-2039.2546282694257,732.0784772405434,2665.9500680086326,2128.9139710352474,25780.31304870925,-5524.417886993604,2339.9605175291545,-5545.73124197167,-2179353.91004893,-10400.589622302625,2490.08233504954,1897.893130836147,606.6848678690035,2927.7990431343687,2178.101220127634,3314.9882697893013,-681893.7415883363,1868.2847200978263,777.3361259318219,2780.307468888469,2070.538620313478,938.2619700691804,2446.7770072630665,1778.567622080349,473.20707533030065
0.3563636363636364,713.9261900445601,64312.267511836915,1053.644488395603,536.8982236145356,745.5099151090686,1.6327594606266658,-11478.055228399708,630.6432718480337,213.9093250918044,532.7402674204956,-2695406.6163657145,419609.4515001629,7896.661970551231,490.0648634828229,1322669.9767081884,4075.059055248223,2248.1811804564795,28506.61929439294,534.3073802807884,2708.078168042964,1874.393363721133,6560.1802603738615,569.5077161658983,3449.2284494546193,2054.5389763512317,13430.89365233687,-39103.48546146759,205.65196550581908,1982.7139738734506,798.4380587766211,111.25621469402832,-6172.0942614171945,-3381.975739923766,3346.4102845538746,1821.9494976289848,1361.0943268445296,834722.9172658749,7603.40058744227,2991.1017440463424,1213.2884794785982,2278.8664413148936,492.91312604442254,1723.6247420384068,17.35456286407591,164.2259676158534,3154.9818466313536,3941.3215297963307,1556.1431549184836,1719.411719680154,1013.1834217065883,2203.8880575880203,1639.3208617858097,117595.40305214838,6.1618372227508695,5878.703362226895,585.9733474127418,4626.302337491122,-993509.3870302546,1384.8864474396278,279.9979366067371,1054.908929368664,2300.792021915559,948.777318900257,6724.988439027272,-2486.133412449113,484.08848700616835,2310.7689156712186,1686.2932434993527,24646.60015808425,-6370.025308868604,1189.7349315916547,-5926.67801931542,-2108794.9100489174,-11729.163841039954,1771.7109971652505,1142.9918857221273,437.1635666058079,2505.5988478250365,1098.8565912245517,1929.4150276049693,-661711.1790883363,1431.8397738087638,596.9857231061263,1903.1550030744922,1264.567917188478,676.5584788618067,1660.3794242584217,1049.3416699350794,361.96632216439207
0.41515151515151516,510.35319200402074,59502.806574336915,727.4208555894388,456.37109349075024,693.830166580248,-1.6288257686333931,-11925.718314324537,524.6920389378774,149.2933430488116,440.2389551804754,-2577930.3663657145,392847.2952501756,6711.301130710649,334.5857680349259,1203686.351708201,3148.147190017016,1575.679593545585,26125.82437251794,266.38159903712403,2431.7490664867996,1242.114433063406,5549.1797720926115,317.70553111680806,2885.7196603952875,1768.0130974576532,12016.81064452437,-38012.02452396759,169.13621846084916,1603.4135588470594,255.47216218759883,64.95232066056303,-5815.911644226527,-2752.70083757368,2984.57727674771,1162.058262283758,808.3771027234359,778150.6672658749,6575.00703275477,2452.5221542089284,912.8454863208714,1906.1885848790846,414.47098738521885,1445.312242051078,9.964255442375006,121.51878379380187,2754.0733993657286,3103.7375454276666,1348.7026031670066,1131.3439706567165,742.5610462246427,1737.5750693194416,1021.385070782856,111219.39523964838,3.721072563284887,5385.743889570645,480.14799952819027,3757.0586851473713,-929319.3245302546,1191.7206759584205,202.58243979957214,804.7930236164486,1599.6241752390392,713.0809688121043,5741.810216371022,-2573.492787449113,366.4307721655862,2053.9276070774686,1434.8136292478757,23833.90484558425,-6324.392496355933,617.878425250334,-5815.620890402834,-1986089.6600489174,-11851.689231664954,1412.1798692418988,781.0166660019005,326.5813217454323,2245.383515800122,611.3111810683017,1300.9088020253673,-624761.3665883236,1202.6071077994745,531.0548759571644,1518.0289044480153,869.2203219799699,481.55649522754413,1270.9669486788198,705.2762402602507,253.156721350945
0.47393939393939394,378.59000842294205,52721.529230586915,583.5058165459457,384.64858983022475,730.7729766515131,-3.721028180173201,-11924.511283074537,560.3415750896969,114.18898057368992,370.5787074157549,-2393321.366365702,352413.7015001882,5548.961286960649,221.31634361862407,1026784.4142082137,2450.6667212796874,1233.7402624940653,23046.728669405613,235.1966930502716,2197.6765567338457,936.1274945995149,4627.743248661447,190.44056227324813,2613.8820139140803,1456.3592888765745,10052.68564452437,-35773.12218021601,129.3238253167221,1306.2073821114216,-550.2869167570473,39.03606472824625,-4758.56398797019,-1557.0729078798445,2558.956183004046,838.4487041909605,540.4361847610214,692251.7922658812,5789.24922025477,2147.217222574639,773.0754668149639,1581.6370712230487,352.61149033391325,1313.166368040312,5.909572241828985,86.91197230362651,2412.3390243784,2441.945797387127,1177.2669342407012,819.2059091459503,570.3157459570166,1378.533565425863,640.172668439106,101774.84055214838,2.8669494603176306,4743.941155198812,405.53719023686443,3222.963470309957,-831114.3245302292,1053.2287326117169,145.10522120965632,659.9000793058538,1221.4963676281873,880.0752925584121,5014.569493714772,-2435.7388811975293,311.9745343821209,1808.8251901042877,1252.968780637238,22989.87750183425,-5712.373453387183,411.3246227696031,-5324.367472427749,-1797184.5350489174,-11244.517356652283,1201.0962510968432,588.8194003927397,251.23854833961056,2024.8218703081488,376.8960504562352,973.1337165888199,-567091.3040883236,1056.3917757777278,526.835515640448,1356.4093976342526,646.490707728493,324.75553088910243,1045.3420707681394,529.8744458456639,171.1105940632873
0.5327272727272727,277.71458120219086,43904.97063686226,486.9991332216789,310.4952390080662,771.1359527447388,-5.02116832380193,-11448.765189311865,511.5187296623907,93.21594289197722,310.768130089701,-2130752.866365689,297249.7952501882,4297.958845563903,147.93353115980577,794618.1017082264,1840.002902942487,1031.5392126957136,19095.185700668284,341.240028049223,1945.7557803920008,758.5336835897012,3611.0701529773287,123.59437091134764,2431.5809885361264,1098.5229852036507,7597.950292980877,-31070.760852086256,88.32984499453846,1058.891708327646,-1764.9542750873766,24.003477711700697,-3266.63259147948,-446.467042382322,2018.7327943575135,665.7234234545843,399.86532295728654,575241.6672658876,5002.957228092612,1929.8496688827083,709.4619414623528,1269.892686485934,294.6073094763953,1212.694566307842,3.9670585517842585,67.18973573209826,2048.7335556410712,1784.247189001361,998.9451569317971,622.6771616000278,445.93568007706165,1104.8228720918305,365.1340942330273,88713.38742716105,2.7899362295146695,3917.54613567073,344.82997594791993,2782.891692972543,-697387.5120302292,925.2155490369738,103.81250429936793,558.2293640150042,977.8005668596087,1103.0876827236414,4316.175939052614,-2126.7054339319043,289.7318586198778,1587.2702584890053,1086.9768373095412,21922.834533085042,-4689.73966429934,1147.4276806531059,-4481.875773196328,-1536525.160048892,-10070.422630077112,1050.2655626582946,479.49490701304694,201.57563029630757,1785.2560744382217,258.56685734733645,760.8398933688071,-486927.0540883109,940.4163729678714,517.7859551600973,1309.5539289190986,507.45640598651966,210.58298453326995,887.191558104505,432.04671760585774,113.6139739460452
0.5915151515151515,193.70066522457975,33713.8807931376,414.15855710682473,232.29270911192702,728.7049225029795,-5.790175293880378,-10252.41850958635,324.95610764276336,78.66649684937664,256.8519314764417,-1791673.1163656763,230067.02962522625,3036.5816483109493,95.64581913628967,530106.0392082644,1419.0253639243365,883.0657630076892,14461.833161643799,421.77759524491563,1647.7004825784522,637.0084150761954,2593.1446158932963,87.42093959722663,2224.2413889457584,715.5069940433984,4851.825293006219,-24616.149523958087,58.213611317742505,810.4340057701229,-3341.4888208686048,14.997897824255979,-1640.6343004448481,120.18742999409477,1376.0670229079847,553.2024884371723,318.75167552802725,433628.04226590024,4138.190138286876,1737.1253036863473,677.260159311818,977.3096787241192,236.86561033367303,1060.9056259351753,3.614833273476933,50.914184995935145,1634.42679295843,1170.4195523047856,799.2094392153805,458.09049170983104,352.1135671064766,898.3367881708119,169.58439638239335,72259.29367717373,2.965035166129002,2940.3483817708156,293.6319169799303,2339.049896110214,-535971.449530204,785.4463840359252,71.5882917748447,469.4133240488016,796.589202129354,1230.2533321947246,3611.8404898592066,-1684.9565325615488,282.94166699799763,1312.02196751773,913.7985536688201,20513.311095585836,-3416.2399084146227,1145.1233593988895,-3342.0137126241098,-1215132.7850488666,-8431.082786301768,919.9219958271198,405.92670027345486,161.76871510180345,1497.4446731185517,196.48378850601586,602.9604378435826,-387323.4603382856,820.8011996660415,449.04425605538887,1326.72702468558,406.6067966368622,137.45586361583923,764.6825859872214,366.72143080081196,72.1114334645803
0.6503030303030304,125.64918976936949,22931.396418175616,368.3481323845006,154.77059914399848,574.0465973678556,-6.2058959905806015,-6735.686575954587,192.06322441800984,67.56382056548102,211.0083342544016,-1396390.3663656511,158223.34212527692,1818.0983719659364,60.12557465669433,276398.2267083151,1227.101413798716,753.8447547322505,9697.479646069483,495.75476819468065,1301.4261906559568,524.1049117310866,1810.9219596813102,67.0731614162983,1934.0026194461866,360.3949641028006,2190.8421387536937,-17483.692492701754,40.466079667627845,630.9133760140234,-4039.0527855191176,9.52777081951742,-299.05214709285735,326.54122795104195,751.6422793126616,464.68201120877467,266.33279128869736,292430.1360159256,3217.4831070875616,1542.0957627214073,646.0614289507739,716.2805040081307,181.38259349894813,879.0832993573824,4.640461646149808,38.66432249926692,1180.5506943636315,1244.1927457053423,582.5189485877588,319.4020762331724,286.11729036821725,735.7288780905897,35.58391959592029,53673.0671146864,3.2487604943414996,1920.1201102959442,240.62239568245678,1872.7328795276585,-365699.6370301532,624.2250706132157,47.736130568530704,384.3431337363235,652.3658134923251,1149.7859250505255,2828.094884428471,-1164.3043108786935,280.1330732955149,1008.5179392734451,730.272735892761,18693.967345587418,-2110.3075353297336,702.1236035965353,-2060.5471598453855,-865086.847548816,-6476.350852670004,794.263060381615,343.62567496519324,133.92971073725735,1151.0263382431453,162.95757391907776,497.1888924967827,-277783.2103382349,681.6370761942417,380.6509762161613,1370.616673230786,325.64683574371173,87.47965215747864,652.8968194743579,309.70888817440505,42.21686042793255
0.7090909090909092,78.42076580164199,13503.0429026013,305.8627809613848,88.64392833827436,426.9432039050349,-6.388928049592842,-3690.3699254879343,155.92537665066774,59.8220261376905,174.22555867960628,-985517.1163656004,92503.91243785295,1091.4904618477003,35.809225814846776,119241.81264589111,1072.5309793361096,630.6679359226082,5555.461091445341,502.97751615263826,934.9574407604949,420.49864963809694,1398.6944206948378,55.65325120080201,1566.9219310139736,82.15820887109103,178.9742188951753,-10665.218859874996,28.801086767969338,532.8190769003577,-4242.422902402506,6.015286903873633,460.95453630110154,280.4840686064094,430.7838809733641,387.8980147376172,228.68121054784257,164485.54226595728,2329.636427476089,1337.9942003037706,593.2812167321639,502.0327929595386,132.10013826368845,681.6511095553603,6.792535099173193,38.184925956383005,768.8547715690897,1085.940548496738,384.0253879487987,219.13132434973951,237.17885975948246,593.1830408276301,2.7449864298303277,34818.51633346174,3.746953863283177,1012.8535087492834,196.64909886109143,1434.7781676452742,-212613.32453007717,449.24786732960627,29.930281808411628,311.4738712279125,526.2703545586352,900.9220335883472,2014.9277702340146,-642.3601580403266,272.71171717670643,727.747187447033,555.0135197298871,16456.418517465587,-1011.991373144331,436.1667860646168,-907.4332071453101,-535382.59754874,-4282.688254950398,668.616393065873,283.21396244542177,112.60946712989134,800.807100091776,144.2938776490222,389.5175058889065,-173226.81971317154,517.1774815690495,307.0529845705772,1429.4601792548876,258.0300145211735,56.07459248359762,547.0537410004608,250.13434914189023,21.057864122293783
