,Bi,Gd,Tc,Sn,Y,Cs,Ac,K,U,O,Cr,Mo,C,Al,Ag,Fe,Pm,Mn,Tl,Cu,Ba,B,I,He,In,Si,Se,Pd,Ta,Na,Tm,Nd,Pu,Sb,Yb,Eu,Kr,Au,P,As,Te,Nb,Mg,Br,Ce,Ir,Hf,Tb,Be,Pb,Dy,H,Ho,Pt,Li,Ar,Zr,Pr,Cl,Er,Ne,S,Zn,Lu,Xe,F,Rh,Re,Np,Sc,Cd,Hg,Ca,Co,N,Ru,Sr,Ga,Sm,V,Pa,Ni,W,Os,Ge,Ti,Rb,La,Th
2.185858585858586,-3.2680059318245283,-20.63190551938904,-10.4076856498949,-2.804690898580869,-4.857289316659491,1.5353591759156888,-0.47199198722248803,-0.8606746468270533,-11.6549439503178,-3.5062613093175266,-11.464528572431732,-11.572173357814346,-4.226642688583545,-2.3764532314399314,-1.2384374590440426,-9.609857753045926,-0.2302644918443319,-10.393173788755464,-1.0087233402172042,-2.8798118268245645,1.5764292089598164,-2.3353160430631417,-1.0692795162183197,-0.00031781814413291186,-1.4872184933883665,-4.969623583474862,-5.379693128163597,-4.311371790592863,-11.40428604186451,-0.3985470923441902,0.16680512981195852,-0.5669092572090595,-21.851816561570434,-4.786690608280859,1.4351993073827507,-15.471366811559527,-0.10154383385892722,-1.875612992872383,-7.944677178473329,-6.305508758320471,-3.3503692969815266,-9.025169150850445,0.1823872745962306,-2.854204875354961,-2.96057771910995,-6.543052690608277,-9.462782600731325,0.23508783641651007,-0.9253289980525407,-2.456634105324682,-0.48157042255922355,-2.3080616994827134,-0.37760509488390176,-3.4723782117354083,-1.2170741949064197,-0.12130836948760765,-7.033991971110977,-2.2400988842378675,-3.0270747156646802,-0.7338041517812618,-0.028907589086394306,-6.249396881219673,-0.16105961631593818,0.507937887211901,0.47497423712834713,-1.173137674963945,-6.032561411225199,-13.169395976404925,-15.31859658613234,-5.406880807419734,0.38338748383260796,0.668366962049706,0.9996206377898389,-5.8693309490912355,-6.447962187481834,-7.749343681051978,1.1069104042794697,-2.0688306984074782,0.2581735654928353,-8.835216722364763,-6.09426244120945,-3.761817645918678,-11.018000561711046,-9.766759610361628,-4.2002324278721845,-8.42460095424934,0.48164124822769633,-2.991941270765032,-3.134390715559305
2.2454545454545456,-3.7934250247528927,-20.633156525058308,-10.240729559496101,-3.1292522647762686,-4.955978701842609,1.1039789790400314,-0.47752400085493396,-0.9307657451129691,-11.82291266741913,-3.3948740701444047,-11.449026852835862,-11.452628399346018,-3.916767511410453,-2.454468922575881,-1.5456013180542163,-9.516497652519819,-0.363641558282931,-10.44423783247651,-1.2412089572984877,-2.8248783048982458,0.9491329605406773,-2.137420130804143,-1.4863309353815195,-0.00030525836638122406,-1.6439607766805266,-4.896653180055564,-5.35641875720822,-4.400607480045866,-11.466660403174798,-0.5026738194503952,0.059966951327703966,-0.6676134732816809,-21.90247438766795,-5.233848709404663,1.3797317722085822,-15.623202793277146,-0.09557600916841603,-2.0730254599987132,-7.623487447353953,-6.219684567578047,-3.6399298339289756,-8.875241436361737,0.008968202873788092,-2.9239092404220735,-3.1487478948560526,-6.392726979921982,-9.67336300428672,0.02533801026895212,-0.9184593522341568,-2.7918226208585373,-0.6082447200255294,-2.304936536125327,-0.4226986845849957,-3.539737806532974,-1.273615770134148,-0.12108470973746216,-7.011849105814392,-2.3186467128147266,-2.812769759220356,-0.7190999887012244,-0.02885017706169589,-5.974100802270655,-0.23131409198726507,0.32569475104537915,0.4402839664611836,-1.1607493398336557,-5.994421887396389,-13.124163006213704,-15.33882661637553,-5.429419009526598,0.18345738982417625,0.4695181690955653,1.018459170921585,-5.790912189281793,-6.346937977324613,-7.594748145753961,1.368807662282677,-2.169834785836212,0.11831680634065408,-8.78737052021186,-6.239769715303372,-3.664477581060494,-10.927847771186775,-9.587987181480637,-4.22753781058364,-8.305188311382212,0.28021252624636706,-3.187399154962755,-3.221735345113453
2.305050505050505,-4.246131349434752,-20.666244469207108,-10.051736049265886,-3.382220905852299,-5.069551517185101,0.8066740837596242,-0.4897389305846703,-0.9990707917939341,-11.933539838207551,-3.299304144063981,-11.429362484463999,-11.309181502255674,-3.6611974823598574,-2.508915057145121,-1.7747205347479627,-9.392956959131219,-0.5031997209626078,-10.547879611632,-1.4423502558887191,-2.759040953247853,0.5393179595816112,-1.9559248601099402,-1.8018409548433325,-0.00028508523388220486,-1.78106004981517,-4.789508184273078,-5.2776601869702136,-4.446280788106436,-11.507292678360377,-0.604317241852816,-0.070373565969945,-0.782338628412192,-21.94504482779885,-5.548728813239255,1.2975909921395072,-15.768857875693636,-0.08988931611152101,-2.210977132395026,-7.301733750954129,-6.1035320306167336,-3.858340607445658,-8.710251490450618,-0.12990215041806885,-2.936102324089551,-3.3535962638283836,-6.19968361190014,-9.846136447086076,-0.16495687363049039,-0.9065821344295979,-3.061941514607294,-0.7303597575538141,-2.302651056527576,-0.49817757045266853,-3.562350424008266,-1.3186208443506942,-0.12087807408830228,-6.974556211668914,-2.3907313838024464,-2.5877775034478416,-0.727470612814011,-0.028785992233245152,-5.6896070142543556,-0.2886837257292954,0.1278446476165958,0.4145589347865471,-1.1498962187747213,-5.932778756596168,-13.004424400926617,-15.370683762480065,-5.459621538182925,0.025256511948855906,0.30569644241428034,0.9985359986747067,-5.710859445269854,-6.281880863464493,-7.405707600847387,1.5678318199127683,-2.247292583036952,-0.051796300912720666,-8.739947454251734,-6.375673645053618,-3.560032053852093,-10.884821938993015,-9.383270444117779,-4.23421646073646,-8.177682925673688,0.11337745961430158,-3.3830188006463384,-3.3380143306815526
2.364646464646465,-4.621654626531972,-20.723735622257827,-9.8524758793367,-3.57506099394739,-5.193029112253812,0.5903107296924046,-0.5103569401973274,-1.065361356944551,-12.003158447149588,-3.221384941519072,-11.400043458446898,-11.155854692842974,-3.4580741770875845,-2.5430292527703346,-1.9368167108647343,-9.251270682201268,-0.6440390322518202,-10.700808919938407,-1.619473762311982,-2.689854305375533,0.24831081782671877,-1.7942128483054507,-2.041416182485615,-0.00025751877653925584,-1.8995300504156218,-4.660489542987403,-5.157127075282535,-4.45409367121529,-11.51623218778278,-0.6990168033180582,-0.21999284636757854,-0.9010537642684611,-21.978034294935107,-5.749561259974419,1.192180868733475,-15.907185894336134,-0.08461266863427283,-2.299232028815642,-6.992201278730314,-5.968539366669238,-4.019667901209618,-8.542843059241088,-0.23515600850721363,-2.8980137747826484,-3.5547853814406913,-5.983732664536732,-9.973550300389109,-0.3386961809365974,-0.8895727035988915,-3.272076910762223,-0.8473984362521598,-2.3009460636999624,-0.5975481852703408,-3.5453453015439096,-1.35424071125715,-0.12068871587861033,-6.926670832892672,-2.4638788110612353,-2.370976913625114,-0.758583213869859,-0.028714741181515638,-5.400766681180142,-0.33477698777749537,-0.08205856139793741,0.39697396536693785,-1.1410454542070512,-5.848540899967703,-12.823213714421815,-15.415023689047345,-5.490602070085941,-0.09767702860357051,0.16613383333596649,0.943164656302097,-5.637693057277781,-6.243067504657525,-7.194084845735718,1.702309045200036,-2.304946352729155,-0.2424287002270011,-8.710541295139766,-6.497537618826861,-3.456672852303878,-10.853585704270023,-9.161072178824252,-4.2223106210342225,-8.039432350342837,-0.034405865377529335,-3.5669511228804844,-3.4698830145880155
2.4242424242424243,-4.918000483958298,-20.799901360954152,-9.651740109927019,-3.7196027053971097,-5.322168010143747,0.4103542589534107,-0.5385702666268992,-1.1290152433491032,-12.04603766413462,-3.1608699021408126,-11.362430796038502,-11.00791622972074,-3.300955840417658,-2.5594964464735015,-2.0435948471626473,-9.104300927344369,-0.7826301115599725,-10.885901836799377,-1.7773810821995146,-2.62173331564751,0.019674448333613648,-1.6537797790805575,-2.222376258210619,-0.0002228933318938447,-1.9998845946944712,-4.519983949982914,-5.004057432653059,-4.430065015703353,-11.487089797239774,-0.7835898071323218,-0.3843107807575194,-1.0186411087525613,-22.001728910378574,-5.855547185904531,1.0662820595436822,-16.037552896538717,-0.07980480120418464,-2.346462849318685,-6.703237645168008,-5.82311914778053,-4.134932062166703,-8.38814799251133,-0.31117424882627903,-2.8169215131852914,-3.7415889091088013,-5.764895283885777,-10.050108861908523,-0.49966795792311997,-0.8678242156623173,-3.4286002037250216,-0.9594685828347431,-2.2996290421834202,-0.716099766548988,-3.493953236886618,-1.381491865570136,-0.12051436334600776,-6.872523418519545,-2.537799471400619,-2.1762129689921896,-0.8120131487003874,-0.028636216810134427,-5.108974041716391,-0.37156068740926995,-0.2995827234578565,0.3856670110276849,-1.134437294070741,-5.7438618534642245,-12.595758906908683,-15.471885626764898,-5.5170457036520535,-0.1919723616436578,0.04444202752722747,0.8570847797875457,-5.576704689367417,-6.222471204321175,-6.9709910333063725,1.775296170775393,-2.34686943617952,-0.44771293316510774,-8.715202560631592,-6.602491924562917,-3.359895635154491,-10.810464283608797,-8.928229164563449,-4.1921094367048,-7.890969987180141,-0.1701383579846378,-3.731826029177437,-3.608604353260528
2.483838383838384,-5.13650761602074,-20.890044886964965,-9.455231060121493,-3.826800737178925,-5.453100765070733,0.2376038489277305,-0.5729413439557977,-1.189459261481168,-12.074356141594023,-3.1159568484800984,-11.32609844596282,-10.87798467886629,-3.181219093691901,-2.5606461912177987,-2.106208131110315,-8.963440948706253,-0.9162280096837806,-11.07660521856539,-1.9184098506987395,-2.556776322957478,-0.17469751295008168,-1.534193732434025,-2.3550703719924733,-0.00018162822118282062,-2.082278915321468,-4.376093428228392,-4.823893232329647,-4.380579661779877,-11.418277855975768,-0.8565331437796201,-0.5582241703774886,-1.1330258185880433,-22.017715733911576,-5.885576778811667,0.922920554841221,-16.159882394959073,-0.07550947426766633,-2.360023590465884,-6.438030494158359,-5.673477175305632,-4.211747332420918,-8.259503016258655,-0.3640737694811218,-2.700262813123184,-3.909084568554275,-5.559042972989309,-10.074096521594864,-0.6514666296350013,-0.8420212424735358,-3.5391778871225332,-1.0669609165793352,-2.298555805758393,-0.8498285872636028,-3.4143822789174685,-1.400778113455615,-0.12035051747349233,-6.816582289566852,-2.609980938504275,-2.00959177046931,-0.8866530282738905,-0.028550314580970633,-4.814594704594697,-0.4014326951741946,-0.5194837705586003,0.37803877591084273,-1.1301506165256108,-5.623224952016465,-12.338732325132217,-15.540148133992034,-5.536148711205299,-0.2636880456377886,-0.062357335508277247,0.746074307691445,-5.526113185233467,-6.213935842687577,-6.745859796675852,1.7913152433189083,-2.3767303485789792,-0.6628052778224496,-8.75652415842031,-6.68870621582231,-3.2712223381699403,-10.74467790938782,-8.691564051753632,-4.14331150817079,-7.734858211159214,-0.29676571753568687,-3.8734373999852263,-3.747390047893332
2.5434343434343436,-5.281430939044283,-20.98993461762751,-9.265916186258613,-3.9060330315079406,-5.582088401522936,0.058544658095746036,-0.6121935343475833,-1.2462017102832212,-12.097255028576262,-3.0841868739439966,-11.30452459255662,-10.773213178235702,-3.090198557304136,-2.54836437300508,-2.1343753860069454,-8.836283332841091,-1.0425587911619563,-11.246532379986755,-2.0428366958859394,-2.4958764633072086,-0.34705779614491333,-1.433588357011717,-2.4452357119649917,-0.00013425554328940718,-2.146919433604946,-4.234330659188964,-4.620213617509296,-4.311845793102412,-11.312339579584007,-0.9178419536055047,-0.7361962485273128,-1.2438882918296008,-22.02841565345118,-5.857310902270185,0.7659029601713361,-16.274581814278893,-0.07178996298760768,-2.3462076242670173,-6.1959189198966325,-5.524075940284824,-4.25468321577261,-8.165504060179913,-0.40004887572040826,-2.5558798853715707,-4.055572292756122,-5.374930417205487,-10.048347877325739,-0.7969139027505184,-0.8121282479780425,-3.612082685672073,-1.170258366394222,-2.297618852552341,-0.9945890829253919,-3.3136916131821312,-1.4123921773010641,-0.12019098760829282,-6.763609789541598,-2.6777634180314185,-1.8702278273431043,-0.9802527679064805,-0.02845705191704607,-4.519106173461162,-0.4265616274522297,-0.7361737604927052,0.371125222330282,-1.128145898752443,-5.493326719201408,-12.06992861576888,-15.617615868451347,-5.547565329141045,-0.31794825015656536,-0.15526004745650043,0.6164378123692488,-5.477287080342589,-6.2129602505014825,-6.5278510093724,1.7556949429201956,-2.397176736440455,-0.88261117811024,-8.81868135718636,-6.755085893229384,-3.192904521629684,-10.65539795072036,-8.458033436782069,-4.076099534460609,-7.574204351800996,-0.4156740218885025,-3.98948920103066,-3.8807516197600656
2.603030303030303,-5.359154943109376,-21.095491539162733,-9.084878719430542,-3.964850862480852,-5.705627570917062,-0.1287835421446665,-0.6553324368783183,-1.2987176372255094,-12.120305744450611,-3.063092408843257,-11.308045975559766,-10.694397361516886,-3.0204716367460436,-2.5240163157164246,-2.1359592551751505,-8.72329924385249,-1.1596607981866802,-11.378187645019038,-2.1496045092992295,-2.43949731116939,-0.5019179159786116,-1.3494000545950937,-2.496642562501603,-8.140593004460112e-05,-2.194425552182013,-4.09755434899472,-4.397439111386565,-4.228888704023084,-11.174035180557116,-0.9685042897191697,-0.9126125202982331,-1.3516683469751074,-22.03658583315311,-5.786494500824076,0.5998837977489133,-16.38243526770372,-0.06873947074819353,-2.3105955777333858,-5.974611887412535,-5.377740124832841,-4.266273585522469,-8.10808595911242,-0.4243742400543722,-2.3924010487746017,-4.180717183638177,-5.213966819623452,-9.979502243366719,-0.9377198408998004,-0.7776479404891742,-3.6551534592977903,-1.2695632896242905,-2.296737348687581,-1.1457253503251972,-3.199070087747869,-1.4167446564272668,-0.1200285946302937,-6.718095673200117,-2.7390997626905347,-1.7533350288704064,-1.0893889058772217,-0.0283565852295793,-4.226295717174766,-0.4481186811349184,-0.9444423223027351,0.36204926110544217,-1.128282784276101,-5.361584359497719,-11.807217728333317,-15.701464902449322,-5.55261717545356,-0.358893162471243,-0.23447314814552864,0.4745098712394164,-5.422694093989727,-6.216395155207589,-6.3284236002169925,1.6747590466295468,-2.4095887165717143,-1.101473629752601,-8.874794371960505,-6.801091720642327,-3.1287108549100346,-10.547547913310328,-8.233634253518312,-3.991800343222996,-7.411807003665708,-0.5275647283671092,-4.078817247063274,-4.004296060148896
2.662626262626263,-5.377534128059657,-21.202846357442155,-8.912485263193243,-4.008814002474666,-5.820786257629017,-0.320481243016029,-0.701573621364522,-1.3463509342171955,-12.145820024430286,-3.050487889862144,-11.338683631937407,-10.637089701610778,-2.9662782200059192,-2.488483154137058,-2.117076610130474,-8.617423159648427,-1.265873428507297,-11.464641401221654,-2.237167989093828,-2.387753626618536,-0.6406973462711129,-1.2789726278254938,-2.5130190087191537,-2.3785578955992865e-05,-2.225948097535291,-3.9664254280730358,-4.1629733019073365,-4.135210852898909,-11.008320280997394,-1.0099704679284587,-1.0823048282005499,-1.4568693157311894,-22.0448314828469,-5.686340494700334,0.4299699712037034,-16.48445890574558,-0.06646541159766646,-2.258179653335805,-5.77200485027873,-5.2357015515446355,-4.248174643160451,-8.081674058744243,-0.4411083326551173,-2.2192696905990936,-4.284461859182525,-5.072255799376749,-9.876127278491005,-1.0743778837543454,-0.7391408170748561,-3.6749463371224853,-1.3648698788522935,-2.2958502493845088,-1.2982925407749693,-3.077037439760482,-1.41437729869379,-0.11985587728828208,-6.683080308471951,-2.7927685550926546,-1.653369951719149,-1.2098109861938044,-0.028249215857652138,-3.9422140765402856,-0.4661743831132262,-1.1401244796405745,0.3484924126189054,-1.1303416863774471,-5.233944655711945,-11.566411369104582,-15.788820611498208,-5.553374443601834,-0.38985078765751735,-0.30015437675098616,0.3262848175251972,-5.358590185500386,-6.222123812512235,-6.161347783777154,1.5558515055902968,-2.4142201137572443,-1.3134713027569078,-8.901012984278907,-6.826734731999892,-3.0796917814363445,-10.4278552461499,-8.022456782841177,-3.89301680010258,-7.250051525203177,-0.6325919156861987,-4.140886318387372,-4.11460295609526
2.7222222222222223,-5.345391907837301,-21.308598827709872,-8.74955848993013,-4.041243796526486,-5.925498326317646,-0.5110637156590061,-0.7502562016282461,-1.3883004059585935,-12.173840837872351,-3.044543700704224,-11.389793963686802,-10.594304827593838,-2.923428691514734,-2.4423869748521896,-2.0825456349834135,-8.510842525672805,-1.3599093166551384,-11.505574783711493,-2.3042087975768726,-2.3398658072739487,-0.7639232298287426,-1.2198836194024139,-2.4987543306429583,3.783488643239194e-05,-2.243063659380688,-3.840349339440602,-3.9274801867646683,-4.034523490964406,-10.819138389230446,-1.0437509042821398,-1.240967081181695,-1.5596720522531522,-22.055202171704007,-5.567069688972102,0.26117145926151375,-16.58165552082074,-0.06505314791858793,-2.1932670556571643,-5.587024201732048,-5.098016913356879,-4.202064670405612,-8.074386881355892,-0.45319589182842834,-2.04606820414296,-4.3666697554765035,-4.943603202085343,-9.746789601147343,-1.2063363936544294,-0.6980560926937172,-3.6763835269005893,-1.4559828322398491,-2.294910769796838,-1.4475379888003965,-2.9529853647642637,-1.4059070532973963,-0.11966571611083329,-6.659033910429863,-2.8383396891128467,-1.565778037034974,-1.3368803543960837,-0.02813540036363166,-3.6739079786621214,-0.4806016934149851,-1.3203256885637837,0.32902222404963816,-1.1340390666812952,-5.1131368717828325,-11.358751248531503,-15.877145043486529,-5.551985730795883,-0.41352856714248576,-0.3526968810974641,0.17715500804787837,-5.28306457703589,-6.228787437671247,-6.038334237805111,1.407027462063904,-2.410610910277943,-1.5130363785268997,-8.886213356912531,-6.832703934980778,-3.043510535458367,-10.302026881312162,-7.826767377307389,-3.783400761458011,-7.091263340988913,-0.7303899053062873,-4.17555123776728,-4.209108268828153
